gene	ko_id
group7_bins.369_contig_6534246_6	K02902
group7_bins.369_contig_6534246_7	K01515
group7_bins.369_contig_6534246_8	K03569
group7_bins.369_contig_6534246_9	K02242
group7_bins.369_contig_6534247_1	K03530
group7_bins.369_contig_6534247_4	K03648
group7_bins.369_contig_6534247_6	K00790
group7_bins.369_contig_6534247_8	K00783
group7_bins.369_contig_6534247_9	K07568
group7_bins.369_contig_6534247_10	K00773
group7_bins.369_contig_6534247_11	K06382
group7_bins.369_contig_6534247_12	K00995
group7_bins.369_contig_6534247_13	K03565
group7_bins.369_contig_6534247_14	K03553
group7_bins.369_contig_6534247_15	K02493
group7_bins.369_contig_6534247_16	K00059
group7_bins.369_contig_6534247_19	K00609
group7_bins.369_contig_6534247_21	K03499
group7_bins.369_contig_6534249_2	K02956
group7_bins.369_contig_6534249_5	K02313
group7_bins.369_contig_6534250_3	K03699
group7_bins.369_contig_6534250_6	K01714
group7_bins.369_contig_6534251_2	K03581
group7_bins.369_contig_6534251_8	K00688
group7_bins.369_contig_6534251_9	K00705
group7_bins.369_contig_6534251_11	K01951
group7_bins.369_contig_6534251_12	K09765
