Protein	gene	Indistinguishable.Proteins	Description	ko_id
12	P21	932_SemiBin_102_contig_2248419_17	MEGAHIT-MetaBAT2-S933.151_contig_5473501_4	rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
13	P24	932_SemiBin_102_contig_2248465_17		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
14	P26	932_SemiBin_102_contig_2248475_3		rank: D;Molybdopterin cofactor-binding domain [PF02738.23];Molybdopterin cofactor-binding domain [PF20256.3];Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.27];[2Fe-2S] binding domain [PF01799.25] (db=pfam)	NA
15	P28	932_SemiBin_102_contig_2248476_14	935_SemiBin_76_contig_5163354_11, MEGAHIT-MetaBAT2-S945.70_contig_241090_13, MEGAHIT-MetaBAT2-S970.51_contig_6451685_1	rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
16	P29	932_SemiBin_102_contig_2248480_3	MEGAHIT-MetaBAT2-S960.208_contig_414036_6	rank: C;phosphonate transport system substrate-binding protein (db=kegg)	K02044
17	P31	932_SemiBin_106_contig_906129_21		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
18	P32	932_SemiBin_106_contig_906129_37		rank: C;putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10548
19	P33	932_SemiBin_106_contig_906129_38		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)	K10546
20	P34	932_SemiBin_106_contig_906129_42		rank: D;L-fucose isomerase, C-terminal domain [PF02952.22];L-arabinose isomerase [PF02610.20] (db=pfam)	NA
21	P37	932_SemiBin_106_contig_906130_63		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
22	P38	932_SemiBin_106_contig_906130_64	938_SemiBin_99_contig_3776021_5, 946_SemiBin_182_contig_789390_17, 963_SemiBin_255_contig_1302096_38, 968_SemiBin_97_contig_2791670_63, 969_SemiBin_208_contig_4993946_38, 983_SemiBin_276_contig_3957076_11, MEGAHIT-MetaBAT2-S937.157_contig_4521489_13, MEGAHIT-MetaBAT2-S937.180_contig_3990932_1, MEGAHIT-MetaBAT2-S946.20_contig_6490357_19, MEGAHIT-MetaBAT2-S962.15_contig_5442126_27, MEGAHIT-MetaBAT2-S970.211_contig_7007172_8, MEGAHIT-MetaBAT2-S982.57_contig_3238417_19, MEGAHIT-MetaBAT2-S983.18_contig_3492591_16	rank: C;large subunit ribosomal protein L36 (db=kegg)	K02919
23	P39	932_SemiBin_106_contig_906130_70	969_SemiBin_208_contig_4993946_32, MEGAHIT-MetaBAT2-S979.94_contig_4634404_10, MEGAHIT-MetaBAT2-S982.57_contig_3238417_13, MEGAHIT-MetaBAT2-S990.184_contig_3097110_13	rank: C;large subunit ribosomal protein L15 (db=kegg)	K02876
24	P40	932_SemiBin_106_contig_906130_72		rank: C;small subunit ribosomal protein S5 (db=kegg)	K02988
25	P41	932_SemiBin_106_contig_906130_77		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
26	P42	932_SemiBin_106_contig_906130_79	946_SemiBin_182_contig_789390_33, 955_SemiBin_256_contig_4164773_21, 960_SemiBin_428_contig_1815703_26, MEGAHIT-MetaBAT2-S945.140_contig_1583238_6, MEGAHIT-MetaBAT2-S957.37_contig_3494438_29, MEGAHIT-MetaBAT2-S979.51_contig_4518104_2, MEGAHIT-MetaBAT2-S979.94_contig_4634404_19, MEGAHIT-MetaBAT2-S982.57_contig_3238417_4, group10_bins.334_contig_6684491_36, group4_bins.149_contig_3639949_37	rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
27	P43	932_SemiBin_106_contig_906130_81	MEGAHIT-MetaBAT2-S932.72_contig_1470493_31, MEGAHIT-MetaBAT2-S979.51_contig_4518070_45, group6_bins.56_contig_4161443_3	rank: C;large subunit ribosomal protein L29 (db=kegg)	K02904
28	P44	932_SemiBin_106_contig_906130_84		rank: C;large subunit ribosomal protein L22 (db=kegg)	K02890
29	P45	932_SemiBin_106_contig_906130_87		rank: C;large subunit ribosomal protein L23 (db=kegg)	K02892
30	P48	932_SemiBin_106_contig_906130_90		rank: C;small subunit ribosomal protein S10 (db=kegg)	K02946
31	P51	932_SemiBin_106_contig_906132_7		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25];Transketolase-like TK C-terminal domain [PF22613.1] (db=pfam)	NA
32	P53	932_SemiBin_106_contig_906133_26		rank: C;LL-diaminopimelate aminotransferase [EC:2.6.1.83] (db=kegg)	K10206
33	P56	932_SemiBin_106_contig_906133_8		rank: C;hydroxylamine reductase [EC:1.7.99.1] (db=kegg)	K05601
34	P57	932_SemiBin_106_contig_906137_12		rank: D;SPFH domain-Band 7 family [PF13421.11] (db=pfam)	NA
35	P60	932_SemiBin_106_contig_906137_32	932_SemiBin_172_contig_661068_1, 938_SemiBin_99_contig_3776015_7, 938_SemiBin_99_contig_3776114_9, 946_SemiBin_182_contig_789416_17, 955_SemiBin_256_contig_4164695_21, 956_SemiBin_125_contig_954900_10, 956_SemiBin_137_contig_428354_18, 956_SemiBin_187_contig_5944739_4, 960_SemiBin_428_contig_1815706_6, 968_SemiBin_313_contig_7005553_50, 983_SemiBin_12_contig_3607351_11, 983_SemiBin_140_contig_943831_6, 983_SemiBin_75_contig_6647884_9, 984_SemiBin_54_contig_5607590_7, 987_SemiBin_26_contig_1253913_12, 993_SemiBin_156_contig_1760608_9, MEGAHIT-MetaBAT2-S932.53_contig_2808044_16, MEGAHIT-MetaBAT2-S932.72_contig_1470570_23, MEGAHIT-MetaBAT2-S934.132_contig_5200160_51, MEGAHIT-MetaBAT2-S935.60_contig_5798550_43, MEGAHIT-MetaBAT2-S935.62_contig_6035014_3, MEGAHIT-MetaBAT2-S937.179_contig_2343738_3, MEGAHIT-MetaBAT2-S942.30_contig_4599909_14, MEGAHIT-MetaBAT2-S942.31_contig_2232971_5, MEGAHIT-MetaBAT2-S953.167_contig_3003288_46, MEGAHIT-MetaBAT2-S957.37_contig_3494424_31, MEGAHIT-MetaBAT2-S957.66_contig_2890008_10, MEGAHIT-MetaBAT2-S964.152_contig_6810329_2, MEGAHIT-MetaBAT2-S964.264_contig_996935_16, MEGAHIT-MetaBAT2-S965.107_contig_5721368_26, MEGAHIT-MetaBAT2-S970.211_contig_7007193_6, MEGAHIT-MetaBAT2-S974.62_contig_6914326_7, MEGAHIT-MetaBAT2-S974.91_contig_4023566_1, MEGAHIT-MetaBAT2-S983.18_contig_3492587_18, MEGAHIT-MetaBAT2-S984.21_contig_1685824_5, MEGAHIT-MetaBAT2-S986.76_contig_2124395_4, MEGAHIT-MetaBAT2-S986.81_contig_6642376_4, group10_bins.334_contig_6684516_21, group4_bins.149_contig_3640010_3, group6_bins.275_contig_5808756_20, group6_bins.304_contig_2563956_39, group7_bins.133_contig_331904_34, group7_bins.370_contig_4873664_22, group8_bins.276_contig_3510818_1	rank: C;transcription termination factor Rho (db=kegg)	K03628
36	P63	932_SemiBin_106_contig_906138_28		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
37	P64	932_SemiBin_106_contig_906138_30		rank: E	NA
38	P65	932_SemiBin_106_contig_906141_17		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)	K00850
39	P66	932_SemiBin_106_contig_906141_21	937_SemiBin_148_contig_282784_6, 946_SemiBin_182_contig_789406_46, 948_SemiBin_209_contig_3427045_34, 951_SemiBin_94_contig_3789195_34, 956_SemiBin_137_contig_428343_8, 963_SemiBin_255_contig_1302087_8, 966_SemiBin_49_contig_5227321_5, 983_SemiBin_12_contig_3607257_8, 983_SemiBin_151_contig_1974805_5, 983_SemiBin_276_contig_3957102_21, 983_SemiBin_75_contig_6647999_5, 986_SemiBin_101_contig_4257408_44, 993_SemiBin_0_contig_4100158_5, 993_SemiBin_156_contig_1760530_9, MEGAHIT-MetaBAT2-S932.53_contig_2808225_2, MEGAHIT-MetaBAT2-S932.72_contig_1470584_9, MEGAHIT-MetaBAT2-S935.60_contig_5798610_56, MEGAHIT-MetaBAT2-S937.180_contig_3990938_5, MEGAHIT-MetaBAT2-S938.190_contig_1791523_26, MEGAHIT-MetaBAT2-S942.30_contig_4599934_10, MEGAHIT-MetaBAT2-S945.140_contig_1583637_4, MEGAHIT-MetaBAT2-S951.45_contig_1551503_24, MEGAHIT-MetaBAT2-S953.167_contig_3003308_20, MEGAHIT-MetaBAT2-S957.37_contig_3494473_5, MEGAHIT-MetaBAT2-S959.110_contig_6841159_1, MEGAHIT-MetaBAT2-S962.15_contig_5442205_16, MEGAHIT-MetaBAT2-S964.152_contig_6810478_19, MEGAHIT-MetaBAT2-S964.217_contig_4118758_4, MEGAHIT-MetaBAT2-S964.264_contig_997000_3, MEGAHIT-MetaBAT2-S966.102_contig_6246871_6, MEGAHIT-MetaBAT2-S970.199_contig_3441295_4, MEGAHIT-MetaBAT2-S974.91_contig_4023755_4, MEGAHIT-MetaBAT2-S975.132_contig_1872246_41, MEGAHIT-MetaBAT2-S979.51_contig_4518102_15, MEGAHIT-MetaBAT2-S983.18_contig_3492530_11, MEGAHIT-MetaBAT2-S986.76_contig_2124557_2, MEGAHIT-MetaBAT2-S993.109_contig_3807279_7, group10_bins.56_contig_5598977_17, group6_bins.275_contig_5808786_4, group6_bins.304_contig_2563972_31, group7_bins.370_contig_4873707_12, group7_bins.83_contig_3134583_41, group8_bins.276_contig_3510813_5, group8_bins.65_contig_6986591_36, group9_bins.268_contig_3174471_5	rank: C;uncharacterized protein (db=kegg)	K00243
40	P67	932_SemiBin_106_contig_906143_17	933_SemiBin_252_contig_4987389_34, 983_SemiBin_276_contig_3957095_37, MEGAHIT-MetaBAT2-S932.132_contig_1418865_4, MEGAHIT-MetaBAT2-S937.179_contig_2343622_4	rank: C;oligopeptide transport system ATP-binding protein (db=kegg)	K15583
41	P68	932_SemiBin_106_contig_906143_45	938_SemiBin_99_contig_3776194_17, 948_SemiBin_209_contig_3427078_32, 960_SemiBin_428_contig_1815699_12, 968_SemiBin_97_contig_2791605_42, 984_SemiBin_54_contig_5607624_71, MEGAHIT-MetaBAT2-S945.140_contig_1583460_3, MEGAHIT-MetaBAT2-S962.15_contig_5442221_4, MEGAHIT-MetaBAT2-S964.152_contig_6810535_14, MEGAHIT-MetaBAT2-S970.199_contig_3441496_7, MEGAHIT-MetaBAT2-S970.211_contig_7007170_4, MEGAHIT-MetaBAT2-S979.51_contig_4518063_23, MEGAHIT-MetaBAT2-S983.18_contig_3492569_1, MEGAHIT-MetaBAT2-S984.21_contig_1685808_9, group4_bins.149_contig_3639975_48, group6_bins.275_contig_5808757_4, group6_bins.56_contig_4161408_11, group7_bins.83_contig_3134546_45, group8_bins.276_contig_3510746_3, group8_bins.65_contig_6986638_30	rank: C;small subunit ribosomal protein S18 (db=kegg)	K02963
42	P69	932_SemiBin_106_contig_906145_15		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
43	P70	932_SemiBin_106_contig_906145_17		rank: C;GTPase (db=kegg)	K03595
44	P73	932_SemiBin_106_contig_906149_25	MEGAHIT-MetaBAT2-S979.51_contig_4518145_48, MEGAHIT-MetaBAT2-S984.21_contig_1685365_1, MEGAHIT-MetaBAT2-S993.109_contig_3807278_3	rank: C;(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3] (db=kegg)	K03526
45	P74	932_SemiBin_106_contig_906149_34		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
46	P75	932_SemiBin_106_contig_906152_2	group7_bins.83_contig_3134594_69	rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
47	P76	932_SemiBin_106_contig_906152_3		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
48	P77	932_SemiBin_106_contig_906152_4		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
49	P78	932_SemiBin_106_contig_906155_14		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
50	P80	932_SemiBin_106_contig_906157_29		rank: C;transcription termination/antitermination protein NusG (db=kegg)	K02601
51	P82	932_SemiBin_106_contig_906158_1		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
52	P84	932_SemiBin_106_contig_906160_4		rank: C;large subunit ribosomal protein L13 (db=kegg)	K02871
53	P85	932_SemiBin_106_contig_906160_7		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)	K01938
54	P86	932_SemiBin_106_contig_906164_9	956_SemiBin_125_contig_954932_2, 960_SemiBin_428_contig_1815696_13, 969_SemiBin_208_contig_4993988_6, 983_SemiBin_12_contig_3607327_50, 984_SemiBin_54_contig_5607592_5, 986_SemiBin_101_contig_4257385_18, 987_SemiBin_26_contig_1253937_6, 993_SemiBin_0_contig_4100230_17, MEGAHIT-MetaBAT2-S932.53_contig_2808272_2, MEGAHIT-MetaBAT2-S932.72_contig_1470477_19, MEGAHIT-MetaBAT2-S934.132_contig_5200450_17, MEGAHIT-MetaBAT2-S937.157_contig_4521541_3, MEGAHIT-MetaBAT2-S938.190_contig_1791433_8, MEGAHIT-MetaBAT2-S942.30_contig_4599687_10, MEGAHIT-MetaBAT2-S953.167_contig_3003280_12, MEGAHIT-MetaBAT2-S953.167_contig_3003322_35, MEGAHIT-MetaBAT2-S957.114_contig_3372940_14, MEGAHIT-MetaBAT2-S957.66_contig_2890087_6, MEGAHIT-MetaBAT2-S959.110_contig_6841171_3, MEGAHIT-MetaBAT2-S966.102_contig_6246623_21, MEGAHIT-MetaBAT2-S974.91_contig_4023770_4, MEGAHIT-MetaBAT2-S979.94_contig_4634369_5, MEGAHIT-MetaBAT2-S982.57_contig_3238488_3, MEGAHIT-MetaBAT2-S984.21_contig_1685739_4, MEGAHIT-MetaBAT2-S986.76_contig_2124385_3, MEGAHIT-MetaBAT2-S986.81_contig_6642514_4, group4_bins.149_contig_3640005_16, group6_bins.56_contig_4161460_6, group7_bins.370_contig_4873732_4	rank: C;23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185] (db=kegg)	K03218
55	P87	932_SemiBin_106_contig_906165_3		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	K00925
56	P89	932_SemiBin_106_contig_906169_20		rank: C;GTP-binding protein (db=kegg)	K06207
57	P90	932_SemiBin_106_contig_906173_13		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)	K01835
58	P93	932_SemiBin_106_contig_906174_14		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)	K01999
59	P94	932_SemiBin_106_contig_906174_5		rank: C;arabinooligosaccharide transport system substrate-binding protein (db=kegg)	K17234
60	P95	932_SemiBin_106_contig_906178_2		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)	K00895
61	P97	932_SemiBin_106_contig_906186_7		rank: C;glycine hydroxymethyltransferase [EC:2.1.2.1] (db=kegg)	K00600
62	P99	932_SemiBin_106_contig_906193_51		rank: C;NADH-quinone oxidoreductase subunit F [EC:7.1.1.2] (db=kegg)	K00335
63	P103	932_SemiBin_106_contig_906202_1		rank: C;elongation factor Tu (db=kegg)	K02358
64	P105	932_SemiBin_106_contig_906202_2		rank: C;elongation factor G (db=kegg)	K02355
65	P106	932_SemiBin_106_contig_906202_3		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
66	P107	932_SemiBin_106_contig_906202_4		rank: C;small subunit ribosomal protein S12 (db=kegg)	K02950
67	P108	932_SemiBin_106_contig_906204_1		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
68	P112	932_SemiBin_106_contig_906210_14	MEGAHIT-MetaBAT2-S932.72_contig_1470501_1	rank: C;HSP20 family protein (db=kegg)	K13993
69	P115	932_SemiBin_106_contig_906219_10		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
70	P117	932_SemiBin_106_contig_906220_5		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
71	P120	932_SemiBin_106_contig_906223_11	956_SemiBin_137_contig_428268_64, MEGAHIT-MetaBAT2-S934.132_contig_5200203_5, MEGAHIT-MetaBAT2-S953.167_contig_3003302_13, MEGAHIT-MetaBAT2-S966.102_contig_6246948_5, MEGAHIT-MetaBAT2-S975.132_contig_1872271_3	rank: C;large subunit ribosomal protein L28 (db=kegg)	K02902
72	P121	932_SemiBin_106_contig_906223_40		rank: C;phosphoserine aminotransferase [EC:2.6.1.52] (db=kegg)	K00831
73	P123	932_SemiBin_106_contig_906226_4		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
74	P126	932_SemiBin_106_contig_906228_1		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)	K04072
75	P127	932_SemiBin_106_contig_906231_2		rank: C;putative tryptophan/tyrosine transport system ATP-binding protein (db=kegg)	K05833
76	P129	932_SemiBin_106_contig_906233_22		rank: D;Aminopeptidase I zinc metalloprotease (M18) [PF02127.20] (db=pfam)	NA
77	P130	932_SemiBin_106_contig_906233_23		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	K01952
78	P131	932_SemiBin_106_contig_906234_10		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
79	P134	932_SemiBin_106_contig_906244_41		rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)	NA
80	P135	932_SemiBin_106_contig_906244_5	956_SemiBin_125_contig_955089_18, 956_SemiBin_137_contig_428337_9, 966_SemiBin_49_contig_5227383_3, 974_SemiBin_118_contig_849951_1, 987_SemiBin_26_contig_1253898_32, 991_SemiBin_110_contig_883125_8, MEGAHIT-MetaBAT2-S973.44_contig_1218901_9, MEGAHIT-MetaBAT2-S988.167_contig_4499237_25, group6_bins.56_contig_4161433_5, group7_bins.133_contig_331864_62, group9_bins.268_contig_3174380_11	rank: D;Domain of unknown function DUF1846, N-terminal [PF08903.16];Domain of unknown function DUF1846, C-terminal [PF20921.2] (db=pfam)	NA
81	P137	932_SemiBin_106_contig_906250_5	MEGAHIT-MetaBAT2-S951.45_contig_1551529_7	rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
82	P138	932_SemiBin_106_contig_906252_6	MEGAHIT-MetaBAT2-S934.132_contig_5200298_14	rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
83	P139	932_SemiBin_124_contig_6655454_1	965_SemiBin_146_contig_1265126_3, 991_SemiBin_141_contig_1443135_2, MEGAHIT-MetaBAT2-S950.5_contig_1514659_35, MEGAHIT-MetaBAT2-S955.226_contig_2978250_2, MEGAHIT-MetaBAT2-S959.123_contig_5422923_11, MEGAHIT-MetaBAT2-S968.241_contig_1689198_8, group4_bins.25_contig_1062564_36	rank: C;ATP-binding cassette, subfamily F, member 3 (db=kegg)	K06158
84	P141	932_SemiBin_124_contig_6655460_3		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)	K00239
85	P142	932_SemiBin_124_contig_6655460_6		rank: D;Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.12];Tetratricopeptide repeat [PF13429.11] (db=pfam)	NA
86	P143	932_SemiBin_124_contig_6655461_6		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
87	P144	932_SemiBin_124_contig_6655462_15		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
88	P146	932_SemiBin_124_contig_6655468_11	MEGAHIT-MetaBAT2-S969.89_contig_3779543_2	rank: C;large subunit ribosomal protein L9 (db=kegg)	K02939
89	P147	932_SemiBin_124_contig_6655468_12	946_SemiBin_296_contig_4307621_5, 954_SemiBin_346_contig_4995182_17, MEGAHIT-MetaBAT2-S932.114_contig_6341906_100, MEGAHIT-MetaBAT2-S967.46_contig_3552812_6, MEGAHIT-MetaBAT2-S969.89_contig_3779543_1, MEGAHIT-MetaBAT2-S976.157_contig_1829007_10, MEGAHIT-MetaBAT2-S981.125_contig_5192620_8, MEGAHIT-MetaBAT2-S988.179_contig_98968_23, MEGAHIT-MetaBAT2-S988.9_contig_3041322_43, group4_bins.47_contig_5578276_7	rank: C;small subunit ribosomal protein S18 (db=kegg)	K02963
90	P149	932_SemiBin_124_contig_6655468_25		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
91	P150	932_SemiBin_124_contig_6655468_33		rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)	K00826
92	P151	932_SemiBin_124_contig_6655471_13		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12] (db=pfam)	NA
93	P152	932_SemiBin_124_contig_6655471_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
94	P153	932_SemiBin_124_contig_6655471_7		rank: E	NA
95	P155	932_SemiBin_124_contig_6655474_13		rank: E	NA
96	P156	932_SemiBin_124_contig_6655474_14		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
97	P161	932_SemiBin_124_contig_6655480_1		rank: E	NA
98	P168	932_SemiBin_124_contig_6655492_7		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
99	P169	932_SemiBin_124_contig_6655493_23	932_SemiBin_172_contig_661077_47, 941_SemiBin_67_contig_4026731_9, 947_SemiBin_204_contig_1162489_2, 953_SemiBin_322_contig_357591_66, 955_SemiBin_256_contig_4164752_35, 966_SemiBin_95_contig_3845527_45, 972_SemiBin_103_contig_3787417_6, MEGAHIT-MetaBAT2-S935.62_contig_6035088_9, MEGAHIT-MetaBAT2-S941.34_contig_3688502_2, MEGAHIT-MetaBAT2-S942.110_contig_6619071_2, MEGAHIT-MetaBAT2-S942.31_contig_2233073_71, MEGAHIT-MetaBAT2-S945.135_contig_4381796_10, MEGAHIT-MetaBAT2-S945.93_contig_4661437_3, MEGAHIT-MetaBAT2-S947.28_contig_2112793_28, MEGAHIT-MetaBAT2-S947.8_contig_60672_6, MEGAHIT-MetaBAT2-S955.226_contig_2978340_9, MEGAHIT-MetaBAT2-S964.185_contig_75095_53, MEGAHIT-MetaBAT2-S964.235_contig_162388_19, MEGAHIT-MetaBAT2-S964.264_contig_996939_8, MEGAHIT-MetaBAT2-S969.89_contig_3779748_4, MEGAHIT-MetaBAT2-S970.122_contig_4011796_10, MEGAHIT-MetaBAT2-S972.76_contig_79557_11, MEGAHIT-MetaBAT2-S973.219_contig_4980366_23, MEGAHIT-MetaBAT2-S975.14_contig_3657821_12, MEGAHIT-MetaBAT2-S976.157_contig_1829259_3, MEGAHIT-MetaBAT2-S981.154_contig_1630376_8, MEGAHIT-MetaBAT2-S990.160_contig_1970222_6, group3_bins.134_contig_161096_34, group8_bins.259_contig_4892486_3	rank: C;7-cyano-7-deazaguanine reductase [EC:1.7.1.13] (db=kegg)	K09457
100	P171	932_SemiBin_124_contig_6655496_12		rank: E	NA
101	P172	932_SemiBin_124_contig_6655499_17		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
102	P173	932_SemiBin_124_contig_6655503_11		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
103	P175	932_SemiBin_124_contig_6655506_6		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
104	P176	932_SemiBin_124_contig_6655506_7		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
105	P177	932_SemiBin_124_contig_6655507_5		rank: D;Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.11] (db=pfam)	NA
106	P178	932_SemiBin_124_contig_6655515_13		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)	K15633
107	P181	932_SemiBin_124_contig_6655515_51	MEGAHIT-MetaBAT2-S969.89_contig_3779508_5	rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
108	P182	932_SemiBin_124_contig_6655517_22	MEGAHIT-MetaBAT2-S969.89_contig_3779417_4, MEGAHIT-MetaBAT2-S987.67_contig_6241504_8	rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24];Biotin-requiring enzyme [PF00364.27] (db=pfam)	NA
109	P183	932_SemiBin_124_contig_6655521_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
110	P184	932_SemiBin_124_contig_6655521_5		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12] (db=pfam)	NA
111	P185	932_SemiBin_124_contig_6655522_15		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
112	P186	932_SemiBin_124_contig_6655525_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
113	P187	932_SemiBin_124_contig_6655525_11		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
114	P188	932_SemiBin_124_contig_6655525_18		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
115	P189	932_SemiBin_124_contig_6655525_50		rank: D;Secretion system C-terminal sorting domain [PF18962.5];Carboxypeptidase regulatory-like domain [PF13620.11];SdrD B-like domain [PF17210.8] (db=pfam)	NA
116	P191	932_SemiBin_124_contig_6655525_56		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
117	P192	932_SemiBin_124_contig_6655529_15		rank: C;phosphate-selective porin OprO and OprP (db=kegg)	K07221
