Protein	gene	Indistinguishable.Proteins	Description	ko_id
94	P6677	956_SemiBin_215_contig_4668609_31		rank: C;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (db=kegg)	K00010
95	P6683	956_SemiBin_215_contig_4668615_38		rank: C;carbohydrate diacid regulator (db=kegg)	K02647
96	P6685	956_SemiBin_215_contig_4668616_16		rank: D;3-hydroxyacyl-CoA dehydrogenase, NAD binding domain [PF02737.23];3-hydroxyacyl-CoA dehydrogenase, C-terminal domain [PF00725.27] (db=pfam)	NA
97	P6715	956_SemiBin_215_contig_4668624_2		rank: D;Transketolase, C-terminal domain [PF02780.25];Transketolase, pyrimidine binding domain [PF02779.29] (db=pfam)	NA
98	P6841	957_SemiBin_50_contig_4168112_6		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
99	P7006	958_SemiBin_114_contig_1436000_3		rank: C;flagellar hook protein FlgE (db=kegg)	K02390
100	P7017	958_SemiBin_114_contig_1436035_3	group10_bins.149_contig_6234305_2	rank: C;phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] (db=kegg)	K01889
101	P7082	958_SemiBin_114_contig_1436165_14		rank: D;EAL domain [PF00563.25];Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	NA
102	P7089	958_SemiBin_114_contig_1436166_14		rank: C;preprotein translocase subunit SecY (db=kegg)	K03076
103	P7318	960_SemiBin_428_contig_1815681_54		rank: D;L-fucose isomerase, C-terminal domain [PF02952.22] (db=pfam)	NA
104	P7407	960_SemiBin_66_contig_2055284_5		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
105	P7421	960_SemiBin_66_contig_2055287_25	MEGAHIT-MetaBAT2-S932.184_contig_6158995_5	rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
106	P7429	960_SemiBin_66_contig_2055313_29	MEGAHIT-MetaBAT2-S967.229_contig_6869568_10	rank: E	NA
107	P7459	960_SemiBin_66_contig_2055372_2		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1] (db=kegg)	K00351
108	P7471	960_SemiBin_66_contig_2055393_4	MEGAHIT-MetaBAT2-S956.103_contig_5657266_23	rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
109	P7568	961_SemiBin_68_contig_3660515_10		rank: D;Peptidase M10 serralysin C terminal [PF08548.16] (db=pfam)	NA
110	P7993	962_SemiBin_32_contig_4978729_10	group3_bins.240_contig_2480957_3	rank: E	NA
111	P8030	962_SemiBin_52_contig_3229496_1		rank: D;Glycosyl hydrolase 109, C-terminal domain [PF21252.2];Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27];Homoserine dehydrogenase, NAD binding domain [PF03447.21] (db=pfam)	NA
112	P8080	963_SemiBin_255_contig_1302079_235		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
113	P8196	963_SemiBin_255_contig_1302111_5		rank: D;Phosphofructokinase [PF00365.25] (db=pfam)	NA
114	P8207	963_SemiBin_255_contig_1302116_46		rank: C;molecular chaperone DnaK (db=kegg)	K04043
115	P8256	964_SemiBin_111_contig_3254965_2		rank: E	NA
116	P8276	964_SemiBin_111_contig_3254985_2		rank: E	NA
117	P8311	964_SemiBin_111_contig_3255066_1		rank: D;Dockerin type I domain [PF00404.23] (db=pfam)	NA
118	P8414	964_SemiBin_528_contig_2812564_20		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)	K00850
119	P8473	964_SemiBin_528_contig_2812592_64		rank: C;OmpA-OmpF porin, OOP family (db=kegg)	K03286
120	P8529	965_SemiBin_146_contig_1265001_4		rank: D;Domain of unknown function (DUF5119) [PF17145.9] (db=pfam)	NA
121	P8573	965_SemiBin_146_contig_1265022_35		rank: C;large subunit ribosomal protein L9 (db=kegg)	K02939
122	P8577	965_SemiBin_146_contig_1265025_10		rank: C;polysaccharide biosynthesis/export protein (db=kegg)	K01991
123	P8584	965_SemiBin_146_contig_1265026_8		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
124	P8587	965_SemiBin_146_contig_1265027_5		rank: C;chemotaxis protein MotB (db=kegg)	K02557
125	P8646	965_SemiBin_146_contig_1265061_17		rank: C;multidrug efflux pump (db=kegg)	K18138
126	P8692	965_SemiBin_146_contig_1265080_2		rank: C;serine protease Do [EC:3.4.21.107] (db=kegg)	K04771
127	P8699	965_SemiBin_146_contig_1265085_4		rank: C;bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3] (db=kegg)	K12524
128	P8706	965_SemiBin_146_contig_1265089_5		rank: C;F-type H+-transporting ATPase subunit b (db=kegg)	K02109
129	P8716	965_SemiBin_146_contig_1265096_3		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
130	P8724	965_SemiBin_146_contig_1265098_11		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
131	P8727	965_SemiBin_146_contig_1265098_14		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
132	P8767	965_SemiBin_146_contig_1265130_4		rank: E	NA
133	P8768	965_SemiBin_146_contig_1265130_5		rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)	NA
134	P8782	965_SemiBin_146_contig_1265144_10		rank: C;nitrogen regulatory protein P-II 1 (db=kegg)	K04751
135	P8784	965_SemiBin_146_contig_1265144_12		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
136	P8794	965_SemiBin_146_contig_1265147_1		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1] (db=kegg)	K00351
137	P8800	965_SemiBin_146_contig_1265151_17		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
138	P8842	965_SemiBin_146_contig_1265175_5		rank: C;dipeptidase D [EC:3.4.13.-] (db=kegg)	K01270
139	P8853	965_SemiBin_146_contig_1265183_32		rank: D;Domain of unknown function (DUF4925) [PF16272.10] (db=pfam)	NA
140	P8883	965_SemiBin_146_contig_1265203_2		rank: C;transcription termination/antitermination protein NusA (db=kegg)	K02600
141	P8948	966_SemiBin_49_contig_5227556_4		rank: C;GDPmannose 4,6-dehydratase [EC:4.2.1.47] (db=kegg)	K01711
142	P9057	966_SemiBin_91_contig_5159102_29		rank: C;elongation factor Tu (db=kegg)	K02358
143	P9084	966_SemiBin_91_contig_5159128_18		rank: E	NA
144	P9088	966_SemiBin_91_contig_5159129_2		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
145	P9125	966_SemiBin_91_contig_5159174_2		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
146	P9141	966_SemiBin_91_contig_5159191_1		rank: D;CarboxypepD_reg-like domain [PF13715.11] (db=pfam)	NA
147	P9145	966_SemiBin_91_contig_5159197_2		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
148	P9176	966_SemiBin_95_contig_3845491_52		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
149	P9296	966_SemiBin_95_contig_3845549_22		rank: C;tagaturonate reductase [EC:1.1.1.58] (db=kegg)	K00041
150	P9430	967_SemiBin_89_contig_4060565_2		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	K01872
151	P9436	967_SemiBin_89_contig_4060566_8		rank: C;beta-glucosidase [EC:3.2.1.21] (db=kegg)	K05349
152	P9485	967_SemiBin_89_contig_4060596_5		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
153	P9521	967_SemiBin_89_contig_4060617_4		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
154	P9560	967_SemiBin_89_contig_4060656_4		rank: D;Cytidylate kinase-like family [PF13189.11] (db=pfam)	NA
155	P9679	968_SemiBin_131_contig_4413978_2		rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)	K17363
156	P9757	968_SemiBin_24_contig_3038611_6		rank: E	NA
157	P9800	968_SemiBin_313_contig_7005532_62		rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
158	P9810	968_SemiBin_313_contig_7005537_138		rank: C;AI-2 transport system substrate-binding protein (db=kegg)	K10555
159	P9907	968_SemiBin_97_contig_2791602_24		rank: D;T4-like virus tail tube protein gp19 [PF06841.17] (db=pfam)	NA
160	P10145	969_SemiBin_208_contig_4994012_12		rank: C;NitT/TauT family transport system substrate-binding protein (db=kegg)	K02051
161	P10206	969_SemiBin_225_contig_2281523_14	group6_bins.205_contig_1135898_3	rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
162	P10209	969_SemiBin_225_contig_2281529_10	group7_bins.394_contig_663727_4	rank: C;4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (db=kegg)	K18120
163	P10218	969_SemiBin_225_contig_2281570_10	MEGAHIT-MetaBAT2-S970.215_contig_2539232_6	rank: C;phenylacetate-CoA ligase [EC:6.2.1.30] (db=kegg)	K01912
164	P10219	969_SemiBin_225_contig_2281572_16		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)	K01938
165	P10315	970_SemiBin_111_contig_3275991_15	MEGAHIT-MetaBAT2-S962.15_contig_5442072_5, MEGAHIT-MetaBAT2-S964.113_contig_1412684_23, MEGAHIT-MetaBAT2-S970.211_contig_7007125_7, MEGAHIT-MetaBAT2-S972.40_contig_3573541_6, group3_bins.183_contig_1475897_13, group8_bins.276_contig_3510806_8	rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)	NA
166	P10338	970_SemiBin_111_contig_3275993_78		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
167	P10351	970_SemiBin_111_contig_3275994_40		rank: E	NA
168	P10400	970_SemiBin_111_contig_3276015_52		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];ATPsynthase alpha/beta subunit N-term extension [PF16886.10];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28];C-terminal domain of V and A type ATP synthase [PF22919.1] (db=pfam)	NA
169	P10420	970_SemiBin_111_contig_3276022_47		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
170	P10476	970_SemiBin_53_contig_3961020_5		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
171	P10502	970_SemiBin_87_contig_5996953_3		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
172	P10525	970_SemiBin_87_contig_5997217_4		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
173	P10563	972_SemiBin_102_contig_6480161_2		rank: D;Iron only hydrogenase large subunit, C-terminal domain [PF02906.19];Iron hydrogenase small subunit [PF02256.22];Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
174	P10575	972_SemiBin_103_contig_3787311_10	MEGAHIT-MetaBAT2-S964.185_contig_75003_12	rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
175	P10606	972_SemiBin_103_contig_3787488_4	MEGAHIT-MetaBAT2-S964.185_contig_74996_9	rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
176	P10923	973_SemiBin_307_contig_3160944_32		rank: C;butyryl-CoA dehydrogenase [EC:1.3.8.1] (db=kegg)	K00248
177	P11014	973_SemiBin_307_contig_3160953_4		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
178	P11339	973_SemiBin_47_contig_3810247_30		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
179	P11435	974_SemiBin_337_contig_5453653_26		rank: C;acetyl-CoA C-acetyltransferase [EC:2.3.1.9] (db=kegg)	K00626
180	P11957	976_SemiBin_24_contig_6422256_30		rank: C;phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9] (db=kegg)	K08483
181	P12181	976_SemiBin_36_contig_3814056_54		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
182	P12263	978_SemiBin_64_contig_4662475_4	MEGAHIT-MetaBAT2-S935.32_contig_4940477_3	rank: C;small subunit ribosomal protein S12 (db=kegg)	K02950
183	P12305	981_SemiBin_196_contig_5051772_30		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
184	P12306	981_SemiBin_196_contig_5051773_34		rank: C;flagellin (db=kegg)	K02406
185	P12311	981_SemiBin_196_contig_5051778_67		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
186	P12351	981_SemiBin_196_contig_5051789_149		rank: C;modulator of FtsH protease HflK (db=kegg)	K04088
187	P12376	981_SemiBin_196_contig_5051794_54		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
188	P12393	981_SemiBin_196_contig_5051807_55		rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)	K01989
189	P12436	981_SemiBin_432_contig_5057926_12		rank: D;Nickel-dependent hydrogenase [PF00374.24] (db=pfam)	NA
190	P12502	981_SemiBin_432_contig_5057951_32		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
191	P12793	983_SemiBin_140_contig_943767_3		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
192	P12988	983_SemiBin_151_contig_1974778_8		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	K01952
193	P13240	983_SemiBin_151_contig_1974825_9		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
194	P13289	983_SemiBin_265_contig_1939076_5		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
195	P13292	983_SemiBin_265_contig_1939080_1		rank: D;HI0933-like protein Rossmann domain [PF03486.19];FAD binding domain [PF00890.29];FMN-binding domain [PF04205.19];FAD dependent oxidoreductase [PF12831.12];FAD dependent oxidoreductase [PF01266.29];Thi4 family [PF01946.22];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11] (db=pfam)	NA
