Protein	gene	Indistinguishable.Proteins	Description	ko_id
73	P2200	938_SemiBin_99_contig_3776294_1		rank: D;CoA enzyme activase uncharacterised domain (DUF2229) [PF09989.14] (db=pfam)	NA
74	P2244	939_SemiBin_272_contig_3873187_2		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
75	P2352	939_SemiBin_87_contig_3125166_5		rank: D;Oxidoreductase family, C-terminal alpha/beta domain [PF19051.5];Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27];Homoserine dehydrogenase, NAD binding domain [PF03447.21] (db=pfam)	NA
76	P2419	940_SemiBin_253_contig_347919_11		rank: E	NA
77	P2423	940_SemiBin_253_contig_347921_6		rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)	K01737
78	P2461	940_SemiBin_253_contig_347968_3		rank: D;Fasciclin domain [PF02469.27] (db=pfam)	NA
79	P2561	941_SemiBin_237_contig_6359465_20		rank: D;Phosphotransferase enzyme family [PF01636.28] (db=pfam)	NA
80	P2580	941_SemiBin_237_contig_6359477_21		rank: C;HSP20 family protein (db=kegg)	K13993
81	P2625	941_SemiBin_67_contig_4026764_44		rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
82	P2647	941_SemiBin_67_contig_4026835_12		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)	K00016
83	P2674	941_SemiBin_67_contig_4026894_2	990_SemiBin_269_contig_1074239_21	rank: C;cellobiose phosphorylase [EC:2.4.1.20] (db=kegg)	K00702
84	P2827	944_SemiBin_44_contig_4820398_2		rank: E	NA
85	P2842	944_SemiBin_44_contig_4820417_31		rank: C;prolyl-tRNA synthetase [EC:6.1.1.15] (db=kegg)	K01881
86	P2843	944_SemiBin_44_contig_4820418_3		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)	K00895
87	P2851	944_SemiBin_44_contig_4820433_2		rank: C;succinate dehydrogenase cytochrome b subunit (db=kegg)	K00241
88	P2909	944_SemiBin_44_contig_4820502_20	945_SemiBin_50_contig_502360_2	rank: D;Concanavalin A-like lectin/glucanases superfamily [PF13385.12];Pentaxin family [PF00354.23];Viral BACON domain [PF19190.5] (db=pfam)	NA
89	P3012	945_SemiBin_185_contig_448673_47		rank: E	NA
90	P3036	945_SemiBin_185_contig_448724_32	MEGAHIT-MetaBAT2-S938.43_contig_1391638_4, MEGAHIT-MetaBAT2-S946.155_contig_5764349_80, MEGAHIT-MetaBAT2-S947.97_contig_6666085_4	rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24] (db=pfam)	NA
91	P3042	945_SemiBin_185_contig_448733_12	MEGAHIT-MetaBAT2-S946.155_contig_5764355_13, MEGAHIT-MetaBAT2-S947.97_contig_6666091_11	rank: E	NA
92	P3095	945_SemiBin_201_contig_3493374_7		rank: D;CBS domain [PF00571.33] (db=pfam)	NA
93	P3138	945_SemiBin_201_contig_3493383_8		rank: C;archaeal chaperonin (db=kegg)	K22447
94	P3188	945_SemiBin_201_contig_3493400_156		rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)	K01858
95	P3271	945_SemiBin_23_contig_1475297_1		rank: D;Hsp70 protein [PF00012.25];MreB/Mbl protein [PF06723.18] (db=pfam)	NA
96	P3272	945_SemiBin_23_contig_1475316_1		rank: D;Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.27] (db=pfam)	NA
97	P3438	945_SemiBin_50_contig_502470_28		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)	K01868
98	P3534	946_SemiBin_182_contig_789393_52		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
99	P3556	946_SemiBin_182_contig_789413_52		rank: C;CTP synthase [EC:6.3.4.2] (db=kegg)	K01937
100	P3614	946_SemiBin_296_contig_4307517_17		rank: D;Domain of unknown function (DUF4827) [PF16109.10] (db=pfam)	NA
101	P3616	946_SemiBin_296_contig_4307519_1		rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)	K01858
102	P3618	946_SemiBin_296_contig_4307520_2		rank: C;bleomycin hydrolase [EC:3.4.22.40] (db=kegg)	K01372
103	P3629	946_SemiBin_296_contig_4307524_24		rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
104	P3675	946_SemiBin_296_contig_4307547_6		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
105	P3703	946_SemiBin_296_contig_4307564_12		rank: D;Dockerin type I domain [PF00404.23] (db=pfam)	NA
106	P3774	946_SemiBin_296_contig_4307595_14		rank: C;uridine phosphorylase [EC:2.4.2.3] (db=kegg)	K00757
107	P3807	946_SemiBin_296_contig_4307617_1		rank: D;Endonuclease I [PF04231.18];Dockerin type I domain [PF00404.23] (db=pfam)	NA
108	P3830	946_SemiBin_296_contig_4307648_6		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)	K00174
109	P3903	946_SemiBin_333_contig_5616790_13		rank: C;spore coat protein JC (db=kegg)	K06334
110	P3941	946_SemiBin_374_contig_4629681_1		rank: E	NA
111	P4001	946_SemiBin_374_contig_4629782_84	968_SemiBin_116_contig_4216170_11	rank: C;carbohydrate diacid regulator (db=kegg)	K02647
112	P4059	947_SemiBin_204_contig_1162486_3		rank: E	NA
113	P4062	947_SemiBin_204_contig_1162491_16		rank: D;Domain of unknown function (DUF4957) [PF16318.10] (db=pfam)	NA
114	P4092	947_SemiBin_204_contig_1162509_21		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
115	P4109	947_SemiBin_204_contig_1162519_3		rank: C;large subunit ribosomal protein L25 (db=kegg)	K02897
116	P4189	947_SemiBin_204_contig_1162575_31		rank: D;Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)	NA
117	P4202	947_SemiBin_8_contig_4470167_11	MEGAHIT-MetaBAT2-S951.163_contig_4275136_3	rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
118	P4323	947_SemiBin_8_contig_4470428_8		rank: C;HSP20 family protein (db=kegg)	K13993
119	P4640	947_SemiBin_9_contig_1846786_24	986_SemiBin_166_contig_1142857_20, MEGAHIT-MetaBAT2-S973.125_contig_3453313_12	rank: D;IreB regulatory phosphoprotein [PF06135.17] (db=pfam)	NA
120	P5056	947_SemiBin_9_contig_1846856_1		rank: E	NA
121	P5200	948_SemiBin_209_contig_3427028_25		rank: C;cysteine synthase [EC:2.5.1.47] (db=kegg)	K01738
122	P5417	950_SemiBin_52_contig_2899165_10		rank: C;type IV pilus assembly protein PilM (db=kegg)	K02662
123	P5431	950_SemiBin_52_contig_2899178_12		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)	K04072
124	P5492	950_SemiBin_52_contig_2899265_86	MEGAHIT-MetaBAT2-S954.88_contig_2519104_25	rank: C;large subunit ribosomal protein L22 (db=kegg)	K02890
125	P5530	951_SemiBin_94_contig_3789200_10		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
126	P5943	953_SemiBin_322_contig_357603_56		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
127	P5963	953_SemiBin_322_contig_357603_82		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
128	P6012	953_SemiBin_322_contig_357606_40		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
129	P6095	954_SemiBin_221_contig_1002670_16		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
130	P6230	955_SemiBin_146_contig_875470_1		rank: E	NA
131	P6356	955_SemiBin_256_contig_4164773_90		rank: C;flagellin (db=kegg)	K02406
132	P6573	956_SemiBin_187_contig_5944684_3		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03614
133	P6677	956_SemiBin_215_contig_4668609_31		rank: C;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (db=kegg)	K00010
134	P6681	956_SemiBin_215_contig_4668615_20		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
135	P6683	956_SemiBin_215_contig_4668615_38		rank: C;carbohydrate diacid regulator (db=kegg)	K02647
136	P6685	956_SemiBin_215_contig_4668616_16		rank: D;3-hydroxyacyl-CoA dehydrogenase, NAD binding domain [PF02737.23];3-hydroxyacyl-CoA dehydrogenase, C-terminal domain [PF00725.27] (db=pfam)	NA
137	P6689	956_SemiBin_215_contig_4668616_22		rank: C;4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (db=kegg)	K18120
138	P6713	956_SemiBin_215_contig_4668623_8		rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)	K10540
139	P6715	956_SemiBin_215_contig_4668624_2		rank: D;Transketolase, C-terminal domain [PF02780.25];Transketolase, pyrimidine binding domain [PF02779.29] (db=pfam)	NA
140	P6738	956_SemiBin_215_contig_4668629_55		rank: C;xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] (db=kegg)	K01621
141	P6754	956_SemiBin_215_contig_4668638_34		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
142	P6774	956_SemiBin_215_contig_4668649_3		rank: C;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (db=kegg)	K00010
143	P6796	957_SemiBin_343_contig_1613452_17	MEGAHIT-MetaBAT2-S958.137_contig_6759197_8	rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
144	P6797	957_SemiBin_343_contig_1613453_5	MEGAHIT-MetaBAT2-S958.137_contig_6759138_3	rank: C;LemA protein (db=kegg)	K03744
145	P6995	958_SemiBin_114_contig_1435962_1		rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)	K01733
146	P7017	958_SemiBin_114_contig_1436035_3	group10_bins.149_contig_6234305_2	rank: C;phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] (db=kegg)	K01889
147	P7082	958_SemiBin_114_contig_1436165_14		rank: D;EAL domain [PF00563.25];Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	NA
148	P7119	958_SemiBin_114_contig_1436225_12		rank: D;Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.10];HlyD family secretion protein [PF13437.11];Biotin-requiring enzyme [PF00364.27] (db=pfam)	NA
149	P7152	959_SemiBin_129_contig_894503_20		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
150	P7165	960_SemiBin_14_contig_3547881_12		rank: C;glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14] (db=kegg)	K00104
151	P7166	960_SemiBin_14_contig_3547881_7		rank: C;polar amino acid transport system substrate-binding protein (db=kegg)	K02030
152	P7215	960_SemiBin_14_contig_3548040_26		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
153	P7248	960_SemiBin_192_contig_4304208_2		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
154	P7335	960_SemiBin_428_contig_1815700_263		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
155	P7407	960_SemiBin_66_contig_2055284_5		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
156	P7427	960_SemiBin_66_contig_2055307_2	MEGAHIT-MetaBAT2-S956.103_contig_5657188_3	rank: C;elongation factor P (db=kegg)	K02356
157	P7429	960_SemiBin_66_contig_2055313_29	MEGAHIT-MetaBAT2-S967.229_contig_6869568_10	rank: E	NA
158	P7471	960_SemiBin_66_contig_2055393_4	MEGAHIT-MetaBAT2-S956.103_contig_5657266_23	rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
159	P7516	961_SemiBin_68_contig_3660505_8		rank: C;two-component system, chemotaxis family, chemotaxis protein CheV (db=kegg)	K03415
160	P7558	961_SemiBin_68_contig_3660511_7		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
161	P7576	961_SemiBin_68_contig_3660515_9		rank: E	NA
162	P7624	961_SemiBin_68_contig_3660519_5		rank: C;oligopeptidase A [EC:3.4.24.70] (db=kegg)	K01414
163	P7710	961_SemiBin_68_contig_3660542_18		rank: C;type VI secretion system protein ImpB (db=kegg)	K11901
164	P7767	961_SemiBin_68_contig_3660555_14		rank: C;DNA gyrase subunit B [EC:5.6.2.2] (db=kegg)	K02470
165	P7772	961_SemiBin_68_contig_3660556_1		rank: D;Domain of unknown function (DUF4214) [PF13946.11] (db=pfam)	NA
166	P7785	961_SemiBin_68_contig_3660560_15		rank: C;tryptophan synthase beta chain [EC:4.2.1.20] (db=kegg)	K06001
167	P7792	961_SemiBin_68_contig_3660561_15		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03615
168	P7804	961_SemiBin_68_contig_3660564_2		rank: C;hydroxyacylglutathione hydrolase [EC:3.1.2.6] (db=kegg)	K01069
169	P7809	961_SemiBin_68_contig_3660570_4		rank: E	NA
170	P7810	961_SemiBin_68_contig_3660571_2		rank: E	NA
171	P7818	961_SemiBin_68_contig_3660573_29		rank: C;2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55] (db=kegg)	K01627
172	P7823	961_SemiBin_68_contig_3660575_2		rank: C;acyl carrier protein (db=kegg)	K02078
173	P7828	961_SemiBin_68_contig_3660577_3		rank: C;flagellar hook protein FlgE (db=kegg)	K02390
174	P7836	961_SemiBin_68_contig_3660580_18		rank: C;enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10] (db=kegg)	K00208
175	P7853	961_SemiBin_68_contig_3660582_15		rank: D;ubiE/COQ5 methyltransferase family [PF01209.23];Methyltransferase domain [PF08241.17];Methyltransferase domain [PF13649.11];Methyltransferase domain [PF08242.17];Methyltransferase domain [PF13847.11];Methyltransferase domain [PF13489.11] (db=pfam)	NA
176	P7882	961_SemiBin_68_contig_3660588_4		rank: C;homoserine dehydrogenase [EC:1.1.1.3] (db=kegg)	K00003
177	P7942	961_SemiBin_68_contig_3660611_8		rank: C;isoleucyl-tRNA synthetase [EC:6.1.1.5] (db=kegg)	K01870
178	P7950	961_SemiBin_68_contig_3660617_1		rank: D;Gram-negative porin [PF13609.11];Gram-negative porin [PF00267.26] (db=pfam)	NA
179	P7952	961_SemiBin_68_contig_3660617_12		rank: D;Gram-negative porin [PF13609.11] (db=pfam)	NA
180	P7981	961_SemiBin_68_contig_3660622_2		rank: C;ornithine carbamoyltransferase [EC:2.1.3.3] (db=kegg)	K00611
181	P7993	962_SemiBin_32_contig_4978729_10	group3_bins.240_contig_2480957_3	rank: E	NA
182	P7995	962_SemiBin_52_contig_3229302_7		rank: E	NA
183	P8029	962_SemiBin_52_contig_3229493_4		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
184	P8080	963_SemiBin_255_contig_1302079_235		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
185	P8112	963_SemiBin_255_contig_1302086_43		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
186	P8196	963_SemiBin_255_contig_1302111_5		rank: D;Phosphofructokinase [PF00365.25] (db=pfam)	NA
187	P8247	964_SemiBin_111_contig_3254954_3		rank: E	NA
188	P8252	964_SemiBin_111_contig_3254958_4		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
189	P8294	964_SemiBin_111_contig_3255025_3		rank: E	NA
190	P8311	964_SemiBin_111_contig_3255066_1		rank: D;Dockerin type I domain [PF00404.23] (db=pfam)	NA
191	P8315	964_SemiBin_111_contig_3255083_8		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
192	P8407	964_SemiBin_528_contig_2812562_134		rank: C;flagellar hook-associated protein 2 (db=kegg)	K02407
193	P8414	964_SemiBin_528_contig_2812564_20		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)	K00850
194	P8473	964_SemiBin_528_contig_2812592_64		rank: C;OmpA-OmpF porin, OOP family (db=kegg)	K03286
195	P8482	964_SemiBin_528_contig_2812596_105		rank: C;elongation factor G (db=kegg)	K02355
196	P8517	965_SemiBin_146_contig_1264995_3		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
197	P8519	965_SemiBin_146_contig_1264995_5		rank: D;Fasciclin domain [PF02469.27] (db=pfam)	NA
198	P8520	965_SemiBin_146_contig_1264995_6		rank: D;Fasciclin domain [PF02469.27] (db=pfam)	NA
199	P8529	965_SemiBin_146_contig_1265001_4		rank: D;Domain of unknown function (DUF5119) [PF17145.9] (db=pfam)	NA
200	P8541	965_SemiBin_146_contig_1265009_15		rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)	K01785
201	P8575	965_SemiBin_146_contig_1265022_9		rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
202	P8577	965_SemiBin_146_contig_1265025_10		rank: C;polysaccharide biosynthesis/export protein (db=kegg)	K01991
