"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"75"	"P13188"	5.77622703622332	7.17985307985716	1.40362604363384	0.0281682724021317	1.55023978805962	"983_SemiBin_151_contig_1974811_26"	""	"rank: C;small subunit ribosomal protein S13 (db=kegg)"
"76"	"P13189"	6.83225345593197	9.15192640054357	2.3196729446116	0.0290263443574728	1.53720765673973	"983_SemiBin_151_contig_1974811_28"	""	"rank: C;small subunit ribosomal protein S4 (db=kegg)"
"77"	"P13192"	5.71943434318729	7.1851626692822	1.46572832609491	0.0404840060863641	1.39271651852208	"983_SemiBin_151_contig_1974811_30"	""	"rank: C;large subunit ribosomal protein L17 (db=kegg)"
"78"	"P13200"	5.69438972903523	7.16700949894289	1.47261976990765	0.0284168190896349	1.54642453756739	"983_SemiBin_151_contig_1974811_8"	""	"rank: C;large subunit ribosomal protein L22 (db=kegg)"
"79"	"P13240"	7.57184563913819	10.1079847321696	2.53613909303144	0.0347277383383198	1.45932349941803	"983_SemiBin_151_contig_1974825_9"	""	"rank: C;large subunit ribosomal protein L10 (db=kegg)"
"80"	"P13289"	12.4252396584449	14.9640407563787	2.53880109793379	0.025840478309781	1.58769945176921	"983_SemiBin_265_contig_1939076_5"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)"
"81"	"P13373"	8.14925190332895	6.51142086195585	-1.63783104137309	0.0422856409481937	1.37380708216733	"983_SemiBin_276_contig_3957053_13"	""	"rank: C;D-methionine transport system ATP-binding protein (db=kegg)"
"82"	"P1338"	5.83128955707864	7.43573850021485	1.6044489431362	0.0247129783208202	1.60707491180746	"935_SemiBin_192_contig_3011943_10"	""	"rank: D;Bacterial extracellular solute-binding proteins, family 3 [PF00497.25];Ligated ion channel L-glutamate- and glycine-binding site [PF10613.14] (db=pfam)"
"83"	"P1342"	6.0185676772062	7.95645093795483	1.93788326074863	0.0128439034862832	1.89130296653843	"935_SemiBin_192_contig_3011943_118"	""	"rank: C;preprotein translocase subunit YajC (db=kegg)"
"84"	"P13431"	8.41465850330079	11.1561688849335	2.74151038163266	0.0126241946600414	1.89879631743551	"983_SemiBin_276_contig_3957064_51"	""	"rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)"
"85"	"P13450"	5.78354770529968	7.77500440626811	1.99145670096843	0.00379561508656574	2.42071783582756	"983_SemiBin_276_contig_3957071_149"	""	"rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)"
"86"	"P13573"	6.05263880055923	7.08502473222678	1.03238593166754	0.0336835574759032	1.47258204690622	"983_SemiBin_276_contig_3957097_20"	""	"rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)"
"87"	"P1358"	6.1231977247171	8.87131236653332	2.74811464181622	0.00384994984183504	2.41454492855804	"935_SemiBin_192_contig_3011944_36"	""	"rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)"
"88"	"P1359"	11.6539807496189	14.7956557523276	3.14167500270867	0.0300531624804254	1.52210982064854	"935_SemiBin_192_contig_3011944_37"	""	"rank: C;cellobiose transport system substrate-binding protein (db=kegg)"
"89"	"P1361"	6.67714978458713	8.80700606873182	2.12985628414469	0.0429752251231208	1.36678183960954	"935_SemiBin_192_contig_3011944_6"	""	"rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)"
"90"	"P1364"	7.53680975274606	10.2191223709457	2.68231261819968	0.0330842192071793	1.4803791103181	"935_SemiBin_192_contig_3011946_4"	""	"rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)"
"91"	"P1365"	5.85277125861161	6.95643826005879	1.10366700144718	0.0454992111776339	1.34199613266532	"935_SemiBin_192_contig_3011946_53"	""	"rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)"
"92"	"P1368"	5.91689973639151	7.04052033364545	1.12362059725394	0.0451936508625536	1.34492257379566	"935_SemiBin_192_contig_3011948_10"	""	"rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)"
"93"	"P13692"	7.40902958943595	9.53806678821152	2.12903719877557	0.0455890038589623	1.34113989723174	"983_SemiBin_309_contig_1221201_5"	""	"rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)"
"94"	"P1381"	6.38796310074647	8.40288235768946	2.01491925694299	0.0302948097211565	1.51863177092158	"935_SemiBin_192_contig_3011955_8"	""	"rank: C;LemA protein (db=kegg)"
"95"	"P1383"	6.39774064152495	9.1015822601046	2.70384161857965	0.00745785061285892	2.12738632017836	"935_SemiBin_192_contig_3011956_1"	""	"rank: C;rubrerythrin (db=kegg)"
"96"	"P13830"	10.1721593515558	7.94738538997301	-2.22477396158278	0.0304643055123975	1.51620871793575	"983_SemiBin_75_contig_6647905_8"	""	"rank: C;gluconate:H+ symporter, GntP family (db=kegg)"
"97"	"P13854"	8.89100727339226	6.31323911355342	-2.57776815983884	0.00270543574084445	2.56776277691458	"983_SemiBin_75_contig_6647931_6"	"993_SemiBin_156_contig_1760518_50"	"rank: C;isocitrate dehydrogenase [EC:1.1.1.42] (db=kegg)"
"98"	"P13900"	7.54424383250519	6.12937478115544	-1.41486905134975	0.0328030826707359	1.48408534153278	"983_SemiBin_75_contig_6647994_17"	"993_SemiBin_156_contig_1760618_22"	"rank: C;small subunit ribosomal protein S8 (db=kegg)"
"99"	"P1392"	5.67845997988393	6.96188091450811	1.28342093462418	0.0397014948276184	1.40119314101612	"935_SemiBin_192_contig_3011960_73"	""	"rank: E"
"100"	"P13956"	6.20644897171009	7.87547839527239	1.66902942356229	0.0209924582157547	1.67793670257873	"984_SemiBin_54_contig_5607584_41"	"MEGAHIT-MetaBAT2-S970.211_contig_7007127_5"	"rank: C;small subunit ribosomal protein S8 (db=kegg)"
"101"	"P13984"	5.91452124614824	7.2452261337532	1.33070488760496	0.0333928664984197	1.47634629879492	"985_SemiBin_129_contig_7036523_58"	""	"rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)"
"102"	"P14015"	11.0571387592276	13.9497964126553	2.89265765342768	0.00939671442612981	2.02702397151015	"985_SemiBin_129_contig_7036532_38"	"992_SemiBin_233_contig_1712878_65, MEGAHIT-MetaBAT2-S948.142_contig_869936_42"	"rank: C;small subunit ribosomal protein S19 (db=kegg)"
"103"	"P14030"	6.18939215226211	7.73826689512275	1.54887474286064	0.0304403204773786	1.51655077960106	"985_SemiBin_129_contig_7036538_45"	"group9_bins.244_contig_1379185_11"	"rank: C;F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6] (db=kegg)"
"104"	"P141"	5.92835914367268	7.4577434558973	1.52938431222462	0.0430659498001704	1.36586597017255	"932_SemiBin_124_contig_6655460_3"	""	"rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)"
"105"	"P14146"	8.29793614770936	11.1359073371202	2.83797118941087	0.0194590329834618	1.71087874579333	"986_SemiBin_101_contig_4257366_8"	""	"rank: C;large subunit ribosomal protein L11 (db=kegg)"
"106"	"P1424"	10.1897340808202	13.1533975343673	2.96366345354713	0.0223978253489181	1.64979414616638	"935_SemiBin_192_contig_3011971_179"	""	"rank: D;HMGL-like [PF00682.24];Conserved carboxylase domain [PF02436.23];Biotin-requiring enzyme [PF00364.27] (db=pfam)"
"107"	"P14253"	6.98887316199781	5.92189400739125	-1.06697915460656	0.0427152848017939	1.36941669365698	"986_SemiBin_101_contig_4257457_2"	"MEGAHIT-MetaBAT2-S935.60_contig_5798586_7, MEGAHIT-MetaBAT2-S993.109_contig_3807208_11"	"rank: C;transcription termination/antitermination protein NusG (db=kegg)"
"108"	"P14308"	7.01172354375827	5.94634399401006	-1.06537954974822	0.0331199417602769	1.47991043557111	"986_SemiBin_166_contig_1142799_10"	""	"rank: C;alpha-glucoside PTS system EIICB component [EC:2.7.1.208 2.7.1.-] (db=kegg)"
"109"	"P1434"	5.60441664674041	7.18602951132238	1.58161286458198	0.00434640169831887	2.36187013827749	"935_SemiBin_192_contig_3011971_232"	""	"rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)"
"110"	"P1438"	6.53416912122361	8.3537603410319	1.81959121980828	0.0459472462761826	1.33774051176199	"935_SemiBin_192_contig_3011971_254"	""	"rank: E"
"111"	"P1440"	6.0817278568073	7.74966492054731	1.66793706374002	0.0264791267700757	1.57709634118063	"935_SemiBin_192_contig_3011971_26"	"970_SemiBin_111_contig_3276016_23, MEGAHIT-MetaBAT2-S964.113_contig_1412599_3"	"rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)"
"112"	"P14433"	9.29817061721711	7.2094154660061	-2.088755151211	0.0389307044592486	1.40970773756115	"987_SemiBin_26_contig_1253944_1"	""	"rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)"
"113"	"P14441"	6.84890463658167	5.66122056710195	-1.18768406947973	0.0338408233691806	1.47055907883805	"987_SemiBin_26_contig_1253955_8"	""	"rank: C;large subunit ribosomal protein L17 (db=kegg)"
"114"	"P14495"	9.82107497584827	7.32721497768513	-2.49385999816314	0.0364120878086638	1.43875441862754	"988_SemiBin_105_contig_5494474_6"	""	"rank: D;Coenzyme A transferase [PF01144.28] (db=pfam)"
"115"	"P14516"	9.7011443601635	6.9969730635657	-2.7041712965978	0.0120964376388482	1.91734250915284	"988_SemiBin_105_contig_5494490_10"	"MEGAHIT-MetaBAT2-S962.187_contig_2556331_7"	"rank: D;Toxic anion resistance protein (TelA) [PF05816.16] (db=pfam)"
"116"	"P14529"	7.64577701631344	5.77509088657538	-1.87068612973806	0.00798603989188914	2.09766852474723	"988_SemiBin_105_contig_5494513_6"	"MEGAHIT-MetaBAT2-S962.187_contig_2556197_2"	"rank: C;HSP20 family protein (db=kegg)"
"117"	"P14540"	9.25199586318336	6.4912718412334	-2.76072402194996	0.00104214831702161	2.98207046848348	"988_SemiBin_105_contig_5494532_6"	"group3_bins.288_contig_4842556_2"	"rank: C;uncharacterized protein (db=kegg)"
