Protein	Indistinguishable.Proteins	Description
37	932_SemiBin_106_contig_906130_63		rank: C;small subunit ribosomal protein S13 (db=kegg)
38	932_SemiBin_106_contig_906130_64	938_SemiBin_99_contig_3776021_5, 946_SemiBin_182_contig_789390_17, 963_SemiBin_255_contig_1302096_38, 968_SemiBin_97_contig_2791670_63, 969_SemiBin_208_contig_4993946_38, 983_SemiBin_276_contig_3957076_11, MEGAHIT-MetaBAT2-S937.157_contig_4521489_13, MEGAHIT-MetaBAT2-S937.180_contig_3990932_1, MEGAHIT-MetaBAT2-S946.20_contig_6490357_19, MEGAHIT-MetaBAT2-S962.15_contig_5442126_27, MEGAHIT-MetaBAT2-S970.211_contig_7007172_8, MEGAHIT-MetaBAT2-S982.57_contig_3238417_19, MEGAHIT-MetaBAT2-S983.18_contig_3492591_16	rank: C;large subunit ribosomal protein L36 (db=kegg)
39	932_SemiBin_106_contig_906130_70	969_SemiBin_208_contig_4993946_32, MEGAHIT-MetaBAT2-S979.94_contig_4634404_10, MEGAHIT-MetaBAT2-S982.57_contig_3238417_13, MEGAHIT-MetaBAT2-S990.184_contig_3097110_13	rank: C;large subunit ribosomal protein L15 (db=kegg)
40	932_SemiBin_106_contig_906130_72		rank: C;small subunit ribosomal protein S5 (db=kegg)
41	932_SemiBin_106_contig_906130_77		rank: C;large subunit ribosomal protein L5 (db=kegg)
42	932_SemiBin_106_contig_906130_79	946_SemiBin_182_contig_789390_33, 955_SemiBin_256_contig_4164773_21, 960_SemiBin_428_contig_1815703_26, MEGAHIT-MetaBAT2-S945.140_contig_1583238_6, MEGAHIT-MetaBAT2-S957.37_contig_3494438_29, MEGAHIT-MetaBAT2-S979.51_contig_4518104_2, MEGAHIT-MetaBAT2-S979.94_contig_4634404_19, MEGAHIT-MetaBAT2-S982.57_contig_3238417_4, group10_bins.334_contig_6684491_36, group4_bins.149_contig_3639949_37	rank: C;large subunit ribosomal protein L14 (db=kegg)
43	932_SemiBin_106_contig_906130_81	MEGAHIT-MetaBAT2-S932.72_contig_1470493_31, MEGAHIT-MetaBAT2-S979.51_contig_4518070_45, group6_bins.56_contig_4161443_3	rank: C;large subunit ribosomal protein L29 (db=kegg)
44	932_SemiBin_106_contig_906130_84		rank: C;large subunit ribosomal protein L22 (db=kegg)
45	932_SemiBin_106_contig_906130_87		rank: C;large subunit ribosomal protein L23 (db=kegg)
46	932_SemiBin_106_contig_906130_88		rank: C;large subunit ribosomal protein L4 (db=kegg)
47	932_SemiBin_106_contig_906130_89		rank: C;large subunit ribosomal protein L3 (db=kegg)
48	932_SemiBin_106_contig_906130_90		rank: C;small subunit ribosomal protein S10 (db=kegg)
49	932_SemiBin_106_contig_906132_25		rank: C;adenosylhomocysteine nucleosidase [EC:3.2.2.9] (db=kegg)
50	932_SemiBin_106_contig_906132_45		rank: C;molecular chaperone DnaK (db=kegg)
51	932_SemiBin_106_contig_906132_7		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25];Transketolase-like TK C-terminal domain [PF22613.1] (db=pfam)
52	932_SemiBin_106_contig_906132_8		rank: C;transketolase [EC:2.2.1.1] (db=kegg)
53	932_SemiBin_106_contig_906133_26		rank: C;LL-diaminopimelate aminotransferase [EC:2.6.1.83] (db=kegg)
54	932_SemiBin_106_contig_906133_27	960_SemiBin_641_contig_2906491_8, 962_SemiBin_76_contig_6001900_1, 976_SemiBin_228_contig_1679492_21, MEGAHIT-MetaBAT2-S943.132_contig_6677528_54, MEGAHIT-MetaBAT2-S945.152_contig_4851755_8, MEGAHIT-MetaBAT2-S946.20_contig_6490404_27, MEGAHIT-MetaBAT2-S946.49_contig_2524392_8, MEGAHIT-MetaBAT2-S973.86_contig_1631953_6, MEGAHIT-MetaBAT2-S980.126_contig_5316296_4, group8_bins.322_contig_3530816_7	rank: C;aspartate--ammonia ligase [EC:6.3.1.1] (db=kegg)
55	932_SemiBin_106_contig_906133_33	951_SemiBin_94_contig_3789172_27, MEGAHIT-MetaBAT2-S932.72_contig_1470485_14, MEGAHIT-MetaBAT2-S934.132_contig_5200160_19, MEGAHIT-MetaBAT2-S938.190_contig_1791559_48, MEGAHIT-MetaBAT2-S953.167_contig_3003214_8, MEGAHIT-MetaBAT2-S975.132_contig_1872210_32, group6_bins.56_contig_4161414_12, group7_bins.83_contig_3134583_115	rank: C;ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6] (db=kegg)
56	932_SemiBin_106_contig_906133_8		rank: C;hydroxylamine reductase [EC:1.7.99.1] (db=kegg)
57	932_SemiBin_106_contig_906137_12		rank: D;SPFH domain-Band 7 family [PF13421.11] (db=pfam)
58	932_SemiBin_106_contig_906137_14		rank: C;preprotein translocase subunit SecA [EC:7.4.2.8] (db=kegg)
59	932_SemiBin_106_contig_906137_31	MEGAHIT-MetaBAT2-S932.72_contig_1470570_22, MEGAHIT-MetaBAT2-S953.167_contig_3003288_45, MEGAHIT-MetaBAT2-S979.94_contig_4634281_10	rank: C;large subunit ribosomal protein L31 (db=kegg)
60	932_SemiBin_106_contig_906137_32	932_SemiBin_172_contig_661068_1, 938_SemiBin_99_contig_3776015_7, 938_SemiBin_99_contig_3776114_9, 946_SemiBin_182_contig_789416_17, 955_SemiBin_256_contig_4164695_21, 956_SemiBin_125_contig_954900_10, 956_SemiBin_137_contig_428354_18, 956_SemiBin_187_contig_5944739_4, 960_SemiBin_428_contig_1815706_6, 968_SemiBin_313_contig_7005553_50, 983_SemiBin_12_contig_3607351_11, 983_SemiBin_140_contig_943831_6, 983_SemiBin_75_contig_6647884_9, 984_SemiBin_54_contig_5607590_7, 987_SemiBin_26_contig_1253913_12, 993_SemiBin_156_contig_1760608_9, MEGAHIT-MetaBAT2-S932.53_contig_2808044_16, MEGAHIT-MetaBAT2-S932.72_contig_1470570_23, MEGAHIT-MetaBAT2-S934.132_contig_5200160_51, MEGAHIT-MetaBAT2-S935.60_contig_5798550_43, MEGAHIT-MetaBAT2-S935.62_contig_6035014_3, MEGAHIT-MetaBAT2-S937.179_contig_2343738_3, MEGAHIT-MetaBAT2-S942.30_contig_4599909_14, MEGAHIT-MetaBAT2-S942.31_contig_2232971_5, MEGAHIT-MetaBAT2-S953.167_contig_3003288_46, MEGAHIT-MetaBAT2-S957.37_contig_3494424_31, MEGAHIT-MetaBAT2-S957.66_contig_2890008_10, MEGAHIT-MetaBAT2-S964.152_contig_6810329_2, MEGAHIT-MetaBAT2-S964.264_contig_996935_16, MEGAHIT-MetaBAT2-S965.107_contig_5721368_26, MEGAHIT-MetaBAT2-S970.211_contig_7007193_6, MEGAHIT-MetaBAT2-S974.62_contig_6914326_7, MEGAHIT-MetaBAT2-S974.91_contig_4023566_1, MEGAHIT-MetaBAT2-S983.18_contig_3492587_18, MEGAHIT-MetaBAT2-S984.21_contig_1685824_5, MEGAHIT-MetaBAT2-S986.76_contig_2124395_4, MEGAHIT-MetaBAT2-S986.81_contig_6642376_4, group10_bins.334_contig_6684516_21, group4_bins.149_contig_3640010_3, group6_bins.275_contig_5808756_20, group6_bins.304_contig_2563956_39, group7_bins.133_contig_331904_34, group7_bins.370_contig_4873664_22, group8_bins.276_contig_3510818_1	rank: C;transcription termination factor Rho (db=kegg)
61	932_SemiBin_106_contig_906137_35		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2] (db=kegg)
62	932_SemiBin_106_contig_906138_26	937_SemiBin_148_contig_282828_13	rank: C;CMP/dCMP kinase [EC:2.7.4.25] (db=kegg)
63	932_SemiBin_106_contig_906138_28		rank: C;small subunit ribosomal protein S1 (db=kegg)
64	932_SemiBin_106_contig_906138_30		rank: E
65	932_SemiBin_106_contig_906141_17		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)
66	932_SemiBin_106_contig_906141_21	937_SemiBin_148_contig_282784_6, 946_SemiBin_182_contig_789406_46, 948_SemiBin_209_contig_3427045_34, 951_SemiBin_94_contig_3789195_34, 956_SemiBin_137_contig_428343_8, 963_SemiBin_255_contig_1302087_8, 966_SemiBin_49_contig_5227321_5, 983_SemiBin_12_contig_3607257_8, 983_SemiBin_151_contig_1974805_5, 983_SemiBin_276_contig_3957102_21, 983_SemiBin_75_contig_6647999_5, 986_SemiBin_101_contig_4257408_44, 993_SemiBin_0_contig_4100158_5, 993_SemiBin_156_contig_1760530_9, MEGAHIT-MetaBAT2-S932.53_contig_2808225_2, MEGAHIT-MetaBAT2-S932.72_contig_1470584_9, MEGAHIT-MetaBAT2-S935.60_contig_5798610_56, MEGAHIT-MetaBAT2-S937.180_contig_3990938_5, MEGAHIT-MetaBAT2-S938.190_contig_1791523_26, MEGAHIT-MetaBAT2-S942.30_contig_4599934_10, MEGAHIT-MetaBAT2-S945.140_contig_1583637_4, MEGAHIT-MetaBAT2-S951.45_contig_1551503_24, MEGAHIT-MetaBAT2-S953.167_contig_3003308_20, MEGAHIT-MetaBAT2-S957.37_contig_3494473_5, MEGAHIT-MetaBAT2-S959.110_contig_6841159_1, MEGAHIT-MetaBAT2-S962.15_contig_5442205_16, MEGAHIT-MetaBAT2-S964.152_contig_6810478_19, MEGAHIT-MetaBAT2-S964.217_contig_4118758_4, MEGAHIT-MetaBAT2-S964.264_contig_997000_3, MEGAHIT-MetaBAT2-S966.102_contig_6246871_6, MEGAHIT-MetaBAT2-S970.199_contig_3441295_4, MEGAHIT-MetaBAT2-S974.91_contig_4023755_4, MEGAHIT-MetaBAT2-S975.132_contig_1872246_41, MEGAHIT-MetaBAT2-S979.51_contig_4518102_15, MEGAHIT-MetaBAT2-S983.18_contig_3492530_11, MEGAHIT-MetaBAT2-S986.76_contig_2124557_2, MEGAHIT-MetaBAT2-S993.109_contig_3807279_7, group10_bins.56_contig_5598977_17, group6_bins.275_contig_5808786_4, group6_bins.304_contig_2563972_31, group7_bins.370_contig_4873707_12, group7_bins.83_contig_3134583_41, group8_bins.276_contig_3510813_5, group8_bins.65_contig_6986591_36, group9_bins.268_contig_3174471_5	rank: C;uncharacterized protein (db=kegg)
67	932_SemiBin_106_contig_906143_17	933_SemiBin_252_contig_4987389_34, 983_SemiBin_276_contig_3957095_37, MEGAHIT-MetaBAT2-S932.132_contig_1418865_4, MEGAHIT-MetaBAT2-S937.179_contig_2343622_4	rank: C;oligopeptide transport system ATP-binding protein (db=kegg)
68	932_SemiBin_106_contig_906143_45	938_SemiBin_99_contig_3776194_17, 948_SemiBin_209_contig_3427078_32, 960_SemiBin_428_contig_1815699_12, 968_SemiBin_97_contig_2791605_42, 984_SemiBin_54_contig_5607624_71, MEGAHIT-MetaBAT2-S945.140_contig_1583460_3, MEGAHIT-MetaBAT2-S962.15_contig_5442221_4, MEGAHIT-MetaBAT2-S964.152_contig_6810535_14, MEGAHIT-MetaBAT2-S970.199_contig_3441496_7, MEGAHIT-MetaBAT2-S970.211_contig_7007170_4, MEGAHIT-MetaBAT2-S979.51_contig_4518063_23, MEGAHIT-MetaBAT2-S983.18_contig_3492569_1, MEGAHIT-MetaBAT2-S984.21_contig_1685808_9, group4_bins.149_contig_3639975_48, group6_bins.275_contig_5808757_4, group6_bins.56_contig_4161408_11, group7_bins.83_contig_3134546_45, group8_bins.276_contig_3510746_3, group8_bins.65_contig_6986638_30	rank: C;small subunit ribosomal protein S18 (db=kegg)
69	932_SemiBin_106_contig_906145_15		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
70	932_SemiBin_106_contig_906145_17		rank: C;GTPase (db=kegg)
71	932_SemiBin_106_contig_906145_3		rank: C;V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1] (db=kegg)
72	932_SemiBin_106_contig_906147_11		rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)
73	932_SemiBin_106_contig_906149_25	MEGAHIT-MetaBAT2-S979.51_contig_4518145_48, MEGAHIT-MetaBAT2-S984.21_contig_1685365_1, MEGAHIT-MetaBAT2-S993.109_contig_3807278_3	rank: C;(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3] (db=kegg)
74	932_SemiBin_106_contig_906149_34		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
75	932_SemiBin_106_contig_906152_2	group7_bins.83_contig_3134594_69	rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)
76	932_SemiBin_106_contig_906152_3		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
77	932_SemiBin_106_contig_906152_4		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
78	932_SemiBin_106_contig_906155_14		rank: C;cellobiose transport system substrate-binding protein (db=kegg)
79	932_SemiBin_106_contig_906156_8		rank: C;glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24] (db=kegg)
80	932_SemiBin_106_contig_906157_29		rank: C;transcription termination/antitermination protein NusG (db=kegg)
81	932_SemiBin_106_contig_906157_31		rank: C;large subunit ribosomal protein L1 (db=kegg)
82	932_SemiBin_106_contig_906158_1		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
83	932_SemiBin_106_contig_906158_11	945_SemiBin_23_contig_1475192_18	rank: D;Xylose isomerase-like TIM barrel [PF01261.29] (db=pfam)
84	932_SemiBin_106_contig_906160_4		rank: C;large subunit ribosomal protein L13 (db=kegg)
85	932_SemiBin_106_contig_906160_7		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)
86	932_SemiBin_106_contig_906164_9	956_SemiBin_125_contig_954932_2, 960_SemiBin_428_contig_1815696_13, 969_SemiBin_208_contig_4993988_6, 983_SemiBin_12_contig_3607327_50, 984_SemiBin_54_contig_5607592_5, 986_SemiBin_101_contig_4257385_18, 987_SemiBin_26_contig_1253937_6, 993_SemiBin_0_contig_4100230_17, MEGAHIT-MetaBAT2-S932.53_contig_2808272_2, MEGAHIT-MetaBAT2-S932.72_contig_1470477_19, MEGAHIT-MetaBAT2-S934.132_contig_5200450_17, MEGAHIT-MetaBAT2-S937.157_contig_4521541_3, MEGAHIT-MetaBAT2-S938.190_contig_1791433_8, MEGAHIT-MetaBAT2-S942.30_contig_4599687_10, MEGAHIT-MetaBAT2-S953.167_contig_3003280_12, MEGAHIT-MetaBAT2-S953.167_contig_3003322_35, MEGAHIT-MetaBAT2-S957.114_contig_3372940_14, MEGAHIT-MetaBAT2-S957.66_contig_2890087_6, MEGAHIT-MetaBAT2-S959.110_contig_6841171_3, MEGAHIT-MetaBAT2-S966.102_contig_6246623_21, MEGAHIT-MetaBAT2-S974.91_contig_4023770_4, MEGAHIT-MetaBAT2-S979.94_contig_4634369_5, MEGAHIT-MetaBAT2-S982.57_contig_3238488_3, MEGAHIT-MetaBAT2-S984.21_contig_1685739_4, MEGAHIT-MetaBAT2-S986.76_contig_2124385_3, MEGAHIT-MetaBAT2-S986.81_contig_6642514_4, group4_bins.149_contig_3640005_16, group6_bins.56_contig_4161460_6, group7_bins.370_contig_4873732_4	rank: C;23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185] (db=kegg)
87	932_SemiBin_106_contig_906165_3		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)
88	932_SemiBin_106_contig_906169_18		rank: C;rubrerythrin (db=kegg)
89	932_SemiBin_106_contig_906169_20		rank: C;GTP-binding protein (db=kegg)
90	932_SemiBin_106_contig_906173_13		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)
91	932_SemiBin_106_contig_906173_30	MEGAHIT-MetaBAT2-S934.132_contig_5200414_24	rank: C;cold shock protein (db=kegg)
92	932_SemiBin_106_contig_906174_1		rank: C;alpha-L-arabinofuranosidase [EC:3.2.1.55] (db=kegg)
93	932_SemiBin_106_contig_906174_14		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
94	932_SemiBin_106_contig_906174_5		rank: C;arabinooligosaccharide transport system substrate-binding protein (db=kegg)
95	932_SemiBin_106_contig_906178_2		rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)
96	932_SemiBin_106_contig_906184_19	group7_bins.83_contig_3134574_18	rank: C;maltose transport system permease protein (db=kegg)
97	932_SemiBin_106_contig_906186_7		rank: C;glycine hydroxymethyltransferase [EC:2.1.2.1] (db=kegg)
98	932_SemiBin_106_contig_906187_2	937_SemiBin_148_contig_282814_14, 951_SemiBin_94_contig_3789204_4, 956_SemiBin_187_contig_5944727_10, 983_SemiBin_276_contig_3957077_48, MEGAHIT-MetaBAT2-S934.132_contig_5200221_9, MEGAHIT-MetaBAT2-S957.66_contig_2890022_4, MEGAHIT-MetaBAT2-S966.102_contig_6246750_14, MEGAHIT-MetaBAT2-S970.122_contig_4011683_3, MEGAHIT-MetaBAT2-S979.51_contig_4518079_85, MEGAHIT-MetaBAT2-S979.94_contig_4634302_2, MEGAHIT-MetaBAT2-S984.21_contig_1685504_2, MEGAHIT-MetaBAT2-S993.109_contig_3807290_24, group10_bins.56_contig_5598950_13, group6_bins.275_contig_5808746_117, group7_bins.83_contig_3134559_5	rank: D;AAA domain (dynein-related subfamily) [PF07728.19];ATPase family associated with various cellular activities (AAA) [PF00004.34] (db=pfam)
99	932_SemiBin_106_contig_906193_51		rank: C;NADH-quinone oxidoreductase subunit F [EC:7.1.1.2] (db=kegg)
100	932_SemiBin_106_contig_906196_11		rank: C;L-arabinose isomerase [EC:5.3.1.4] (db=kegg)
101	932_SemiBin_106_contig_906196_6		rank: C;galactofuranose transport system substrate-binding protein (db=kegg)
102	932_SemiBin_106_contig_906198_18		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)
103	932_SemiBin_106_contig_906202_1		rank: C;elongation factor Tu (db=kegg)
104	932_SemiBin_106_contig_906202_12		rank: C;large subunit ribosomal protein L10 (db=kegg)
105	932_SemiBin_106_contig_906202_2		rank: C;elongation factor G (db=kegg)
106	932_SemiBin_106_contig_906202_3		rank: C;small subunit ribosomal protein S7 (db=kegg)
107	932_SemiBin_106_contig_906202_4		rank: C;small subunit ribosomal protein S12 (db=kegg)
108	932_SemiBin_106_contig_906204_1		rank: C;small subunit ribosomal protein S2 (db=kegg)
109	932_SemiBin_106_contig_906204_2		rank: C;elongation factor Ts (db=kegg)
110	932_SemiBin_106_contig_906204_23	932_SemiBin_172_contig_661108_8, 937_SemiBin_148_contig_282825_5, 986_SemiBin_101_contig_4257367_14, MEGAHIT-MetaBAT2-S942.31_contig_2233072_3, MEGAHIT-MetaBAT2-S946.20_contig_6490440_4, MEGAHIT-MetaBAT2-S974.62_contig_6914224_4, MEGAHIT-MetaBAT2-S979.51_contig_4518045_5, MEGAHIT-MetaBAT2-S993.109_contig_3807109_31, group10_bins.334_contig_6684523_16, group7_bins.83_contig_3134541_27	rank: D;Iron dependent repressor, metal binding and dimerisation domain [PF02742.20];Iron dependent repressor, N-terminal DNA binding domain [PF01325.24] (db=pfam)
111	932_SemiBin_106_contig_906207_3		rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)
112	932_SemiBin_106_contig_906210_14	MEGAHIT-MetaBAT2-S932.72_contig_1470501_1	rank: C;HSP20 family protein (db=kegg)
113	932_SemiBin_106_contig_906213_3	MEGAHIT-MetaBAT2-S959.110_contig_6841477_12, group6_bins.56_contig_4161489_16	rank: C;aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (db=kegg)
114	932_SemiBin_106_contig_906214_7		rank: D;Cytidylate kinase-like family [PF13189.11] (db=pfam)
115	932_SemiBin_106_contig_906219_10		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
116	932_SemiBin_106_contig_906220_11		rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)
117	932_SemiBin_106_contig_906220_5		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)
118	932_SemiBin_106_contig_906220_65		rank: D;Hsp70 protein [PF00012.25];MreB/Mbl protein [PF06723.18] (db=pfam)
119	932_SemiBin_106_contig_906221_4		rank: C;trigger factor (db=kegg)
120	932_SemiBin_106_contig_906223_11	956_SemiBin_137_contig_428268_64, MEGAHIT-MetaBAT2-S934.132_contig_5200203_5, MEGAHIT-MetaBAT2-S953.167_contig_3003302_13, MEGAHIT-MetaBAT2-S966.102_contig_6246948_5, MEGAHIT-MetaBAT2-S975.132_contig_1872271_3	rank: C;large subunit ribosomal protein L28 (db=kegg)
121	932_SemiBin_106_contig_906223_40		rank: C;phosphoserine aminotransferase [EC:2.6.1.52] (db=kegg)
122	932_SemiBin_106_contig_906225_56	MEGAHIT-MetaBAT2-S966.102_contig_6246582_10	rank: E
123	932_SemiBin_106_contig_906226_4		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
124	932_SemiBin_106_contig_906227_13		rank: C;spoIIIJ-associated protein (db=kegg)
125	932_SemiBin_106_contig_906227_22		rank: C;seryl-tRNA synthetase [EC:6.1.1.11] (db=kegg)
126	932_SemiBin_106_contig_906228_1		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)
127	932_SemiBin_106_contig_906231_2		rank: C;putative tryptophan/tyrosine transport system ATP-binding protein (db=kegg)
128	932_SemiBin_106_contig_906231_23		rank: C;threonine dehydratase [EC:4.3.1.19] (db=kegg)
129	932_SemiBin_106_contig_906233_22		rank: D;Aminopeptidase I zinc metalloprotease (M18) [PF02127.20] (db=pfam)
130	932_SemiBin_106_contig_906233_23		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)
131	932_SemiBin_106_contig_906234_10		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)
