Bin	classification	Association	Loading_Value	codeBin	comp1	comp2	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references	msa_percent	translation_table	red_value	warnings
MEGAHIT-MetaBAT2-S946.206	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp945871105	stress	-0.180500368400709	V202	-0.180500368400709	0.0947343895275171	GCA_945871105.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp945871105	97,46	0,782	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group9_bins.282	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFHK01;s__SFHK01 sp004556395	control	0.174429387211016	V472	0.174429387211016	0.0204057460875771	GCA_004556395.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFHK01;s__SFHK01 sp004556395	99,3	0,907	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S983.92	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	control	0.170330424597323	V367	0.170330424597323	0.0859743070799679	GCA_000434995.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98,3	0,87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
932_SemiBin_176	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG708;s__RUG708 sp028724585	stress	-0.166857324576978	V6	-0.166857324576978	-0.11436071727099	GCA_028724585.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG708;s__RUG708 sp028724585	99,47	0,882	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.49	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385315	stress	-0.157213047883915	V211	-0.157213047883915	-0.148480312148001	GCA_018385315.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385315	98,3	0,72	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S960.129	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	control	0.150289310327879	V252	0.150289310327879	-0.0493280566003147	GCA_934589185.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	96,48	0,55	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025757645.1, s__CAG-103 sp000432375, 95.0, 94.29, 0.618; GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 96.46, 0.649; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 91.45, 0.478; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 91.4, 0.452; GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 91.19, 0.434; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 95.32, 0.623	N/A	N/A	N/A	N/A
group8_bins.283	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__CAKUOV01 sp029219345	control	0.139600300432652	V463	0.139600300432652	0.0727099194840044	GCA_029219345.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__CAKUOV01 sp029219345	98,16	0,895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
973_SemiBin_207	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934157235	control	0.139047910097559	V95	0.139047910097559	0.136234655392729	GCA_934157235.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934157235	98,47	0,836	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900768815.1, s__CAG-877 sp900768815, 95.0, 86.72, 0.45; GCA_934168245.1, s__CAG-877 sp934168245, 95.0, 86.68, 0.454; GCA_000433455.1, s__CAG-877 sp000433455, 95.0, 86.77, 0.473	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.97	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp022779485	stress	-0.137018292728836	V215	-0.137018292728836	0.136600399703506	GCA_022779485.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp022779485	97,27	0,816	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_029225165.1, s__Ruminococcus_E sp029225165, 95.0, 93.88, 0.757	N/A	N/A	N/A	N/A
group9_bins.244	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016292805	stress	-0.136026582616145	V469	-0.136026582616145	-0.131125720236893	GCA_016292805.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016292805	98,86	0,921	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group3_bins.358	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter sp022763735	stress	-0.134746650793546	V418	-0.134746650793546	-0.0339783191806759	GCA_022763735.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter sp022763735	99,32	0,904	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S970.243	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAKOQQ01;s__CAKOQQ01 sp934101425	control	0.123736926444612	V313	0.123736926444612	0.113972387172757	GCA_934101425.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAKOQQ01;s__CAKOQQ01 sp934101425	98,73	0,882	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group3_bins.206	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RGIG1693;s__RGIG1693 sp016293975	control	0.122811704880612	V411	0.122811704880612	-0.0219435645386315	GCA_016293975.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RGIG1693;s__RGIG1693 sp016293975	99,62	0,957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S973.204	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp900542285	control	0.122445765393001	V325	0.122445765393001	-0.0254261269790372	GCA_900542285.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp900542285	99,39	0,945	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S968.150	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__	control	0.120634412805977	V295	0.120634412805977	0.120480654550591	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934648845.1, s__CAKUOV01 sp934648845, 95.0, 93.68, 0.758; GCA_934631995.1, s__CAKUOV01 sp934631995, 95.0, 93.5, 0.649; GCA_934630905.1, s__CAKUOV01 sp934630905, 95.0, 93.32, 0.674; GCA_934623455.1, s__CAKUOV01 sp934623455, 95.0, 93.24, 0.674; GCA_934645125.1, s__CAKUOV01 sp934645125, 95.0, 92.92, 0.569; GCA_934670115.1, s__CAKUOV01 sp934670115, 95.0, 91.97, 0.68	77,36	11	0,99525	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2-S938.43	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bovis	stress	-0.120236379291644	V169	-0.120236379291644	-0.0698574645472757	GCF_005601135.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bovis	96,23	0,89	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_934476515.1, s__Ruminococcus_E sp934476515, 95.0, 94.66, 0.82	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S944.97	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-914;s__CAG-914 sp000437895	stress	-0.120039057021649	V185	-0.120039057021649	-0.0564906767462285	GCA_000437895.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-914;s__CAG-914 sp000437895	99,03	0,797	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
992_SemiBin_141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705	stress	-0.118872450400735	V131	-0.118872450400735	-0.233875312565095	GCA_004556705.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705	98,44	0,924	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934436505.1, s__Fimenecus sp934436505, 95.0, 95.12, 0.905; GCA_902491475.1, s__Fimenecus sp902491475, 95.0, 85.95, 0.579	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S969.165	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS1449;s__	stress	-0.117352343201929	V302	-0.117352343201929	-0.283970305556559	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS1449;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61,27	11	0,9217	N/A
959_SemiBin_129	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	control	0.115794405153623	V60	0.115794405153623	-0.231058290334988	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022779485.1, s__Ruminococcus_E sp022779485, 95.0, 89.09, 0.589; GCA_029225165.1, s__Ruminococcus_E sp029225165, 95.0, 88.99, 0.575	94,86	11	0,99004	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2-S981.151	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp000436975	stress	-0.111452958776277	V356	-0.111452958776277	-0.064863197110153	GCA_000436975.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp000436975	98,38	0,796	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934090685.1, s__CAG-1000 sp934090685, 95.0, 91.61, 0.5; GCA_016302505.1, s__CAG-1000 sp016302505, 95.0, 88.51, 0.344	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S954.181	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825	control	0.108143231607831	V231	0.108143231607831	-0.108652350056082	GCA_004558825.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825	99,11	0,963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
991_SemiBin_80	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945980375	control	0.106007602205997	V130	0.106007602205997	0.104522690620999	GCF_945980375.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945980375	97,64	0,909	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900766895.1, s__Eubacterium_R sp900766895, 95.0, 93.27, 0.761	N/A	N/A	N/A	N/A
group8_bins.297	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9848;s__UBA9848 sp028719825	stress	-0.102033972693047	V464	-0.102033972693047	0.11666500434649	GCA_028719825.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9848;s__UBA9848 sp028719825	97,23	0,931	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp945827635	stress	-0.101876770251633	V209	-0.101876770251633	-0.260771519880819	GCA_945827635.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp945827635	97,77	0,864	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900317745.1, s__RF16 sp900317745, 95.0, 93.83, 0.623	N/A	N/A	N/A	N/A
986_SemiBin_166	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B	control	0.0968451369662773	V121	0.0968451369662773	0.310930199309938	GCA_004556255.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B	98,16	0,933	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_027681045.1, s__Lactobacillus sp027681045, 95.0, 94.39, 0.817; GCF_001433875.1, s__Lactobacillus delbrueckii, 95.0, 94.48, 0.806; GCF_944327175.1, s__Lactobacillus sp944327175, 95.0, 94.4, 0.83; GCF_016587775.1, s__Lactobacillus nasalidis, 95.0, 88.6, 0.486	N/A	N/A	N/A	N/A
group10_bins.111	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Heritagella;s__Heritagella sp022767925	control	0.0749655093512365	V392	0.0749655093512365	0.140801291787559	GCA_022767925.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Heritagella;s__Heritagella sp022767925	99,1	0,916	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
962_SemiBin_32	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__	stress	-0.0733184428561908	V68	-0.0733184428561908	0.141331041708817	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83,22	11	0,97125	N/A
MEGAHIT-MetaBAT2-S933.139	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp900543825	control	0.0722954525795867	V148	0.0722954525795867	0.105886719123919	GCA_900543825.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp900543825	98,26	0,806	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934183705.1, s__CAG-302 sp934183705, 95.0, 91.54, 0.209; GCA_934098435.1, s__CAG-302 sp934098435, 95.0, 93.94, 0.74	N/A	N/A	N/A	N/A
