user_genome	x	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references	msa_percent	translation_table	red_value	warnings
group3_bins.358	V418	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter sp022763735	GCA_022763735.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter sp022763735	99,32	0,904	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group6_bins.106	V430	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA4248;f__UBA4248;g__RGIG464;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA4248;f__UBA4248;g__RGIG464;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81,37	11	0,90279	N/A
group8_bins.266	V461	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus intestinavium	GCA_019117225.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus intestinavium	96,27	0,663	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group8_bins.283	V463	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__CAKUOV01 sp029219345	GCA_029219345.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__CAKUOV01 sp029219345	98,16	0,895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group8_bins.297	V464	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9848;s__UBA9848 sp028719825	GCA_028719825.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9848;s__UBA9848 sp028719825	97,23	0,931	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group9_bins.244	V469	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016292805	GCA_016292805.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp016292805	98,86	0,921	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group9_bins.282	V472	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFHK01;s__SFHK01 sp004556395	GCA_004556395.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFHK01;s__SFHK01 sp004556395	99,3	0,907	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S933.139	V148	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp900543825	GCA_900543825.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp900543825	98,26	0,806	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934183705.1, s__CAG-302 sp934183705, 95.0, 91.54, 0.209; GCA_934098435.1, s__CAG-302 sp934098435, 95.0, 93.94, 0.74	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S938.43	V169	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bovis	GCF_005601135.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bovis	96,23	0,89	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_934476515.1, s__Ruminococcus_E sp934476515, 95.0, 94.66, 0.82	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S944.97	V185	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-914;s__CAG-914 sp000437895	GCA_000437895.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-914;s__CAG-914 sp000437895	99,03	0,797	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S946.206	V202	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp945871105	GCA_945871105.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp945871105	97,46	0,782	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S946.39	V204	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp022775905	GCA_022775905.1	95	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp022775905	99.63	0.95899999999999996	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 87.24, 0.539; GCA_029219465.1, s__Methanobrevibacter_A sp900769095, 95.0, 86.19, 0.43	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.28	V209	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp945827635	GCA_945827635.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp945827635	97,77	0,864	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900317745.1, s__RF16 sp900317745, 95.0, 93.83, 0.623	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.49	V211	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385315	GCA_018385315.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385315	98,3	0,72	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S947.97	V215	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp022779485	GCA_022779485.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp022779485	97,27	0,816	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_029225165.1, s__Ruminococcus_E sp029225165, 95.0, 93.88, 0.757	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S954.181	V231	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825	GCA_004558825.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825	99,11	0,963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S960.129	V252	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	GCA_934589185.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp934589185	96,48	0,55	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025757645.1, s__CAG-103 sp000432375, 95.0, 94.29, 0.618; GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 96.46, 0.649; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 91.45, 0.478; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 91.4, 0.452; GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 91.19, 0.434; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 95.32, 0.623	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S968.150	V295	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAKUOV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934648845.1, s__CAKUOV01 sp934648845, 95.0, 93.68, 0.758; GCA_934631995.1, s__CAKUOV01 sp934631995, 95.0, 93.5, 0.649; GCA_934630905.1, s__CAKUOV01 sp934630905, 95.0, 93.32, 0.674; GCA_934623455.1, s__CAKUOV01 sp934623455, 95.0, 93.24, 0.674; GCA_934645125.1, s__CAKUOV01 sp934645125, 95.0, 92.92, 0.569; GCA_934670115.1, s__CAKUOV01 sp934670115, 95.0, 91.97, 0.68	77,36	11	0,99525	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2-S968.183	V297	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp934667625	GCA_934667625.1	95	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp934667625	98,85	0,948	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S969.165	V302	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS1449;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS1449;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61,27	11	0,9217	N/A
MEGAHIT-MetaBAT2-S970.243	V313	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAKOQQ01;s__CAKOQQ01 sp934101425	GCA_934101425.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAKOQQ01;s__CAKOQQ01 sp934101425	98,73	0,882	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S971.164	V316	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63,52	11	0,95217	N/A
MEGAHIT-MetaBAT2-S972.108	V319	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp016292785	GCA_016292785.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp016292785	97,55	0,909	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S972.52	V321	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp004556165	GCA_004556165.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp004556165	97,59	0,863	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S973.204	V325	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp900542285	GCA_900542285.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp900542285	99,39	0,945	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S973.217	V326	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp004560435	GCA_022778545.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp004560435	96,1	0,8	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S981.151	V356	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp000436975	GCA_000436975.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp000436975	98,38	0,796	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934090685.1, s__CAG-1000 sp934090685, 95.0, 91.61, 0.5; GCA_016302505.1, s__CAG-1000 sp016302505, 95.0, 88.51, 0.344	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S983.92	V367	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	GCA_000434995.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995	98,3	0,87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S987.82	V378	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__CACZQA01;s__CACZQA01 sp902783175	GCA_902783175.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__CACZQA01;s__CACZQA01 sp902783175	97,11	0,789	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900758075.1, s__CACZQA01 sp900758075, 95.0, 95.56, 0.785	N/A	N/A	N/A	N/A
